,Y
VIX,0.5984320414603468
MXEU_roc_26w,-0.4963879635022164
MXUS_roc_26w,-0.4933607558174807
bond_equity_ratio_zscore,0.4883289093589928
MXUS_vol_12w,0.4772021314237269
MXUS_rsi_14w,-0.47330728941401823
MXEU_roc_12w,-0.46560207760366684
MXUS_roc_12w,-0.4629206500003479
MXEU_rsi_14w,-0.4515598110702738
MXEU_ma_12_26_cross,-0.4502025107940642
MXEU_vol_12w,0.4399416904298812
MXEU_roc_52w,-0.4372565392829325
vix_zscore_52w,0.4340850665590053
MXEU_ma_4_12_cross,-0.4317877180450448
MXUS_ma_12_26_cross,-0.4314770814419646
realized_vol_4w,0.42822942807250386
MXUS_vol_4w,0.42822942807250386
MXUS_roc_52w,-0.4232610846440464
MXUS_vol_26w,0.4226377780491406
gold_equity_ratio_zscore,0.4196756818958854
MXUS_ma_4_12_cross,-0.41435694613006746
MXIN_roc_52w,-0.4104687869787533
MXEU_vol_4w,0.40755599238386525
MXBR_roc_26w,-0.4074438389370148
MXJP_rsi_14w,-0.40641168910614356
MXJP_roc_52w,-0.4046712518596884
MXIN_ma_26_52_cross,-0.4026354630149228
MXJP_roc_12w,-0.3995616993442212
vix_percentile_52w,0.39870379831440694
MXJP_roc_26w,-0.39635120684729463
MXEU_vol_26w,0.3933799496463537
MXBR_rsi_14w,-0.37953124904778535
MXUS_roc_4w,-0.37716774124274244
MXJP_ma_12_26_cross,-0.36935130259012433
MXBR_ma_4_12_cross,-0.3659873228053491
MXCN_roc_52w,-0.36244682843480885
MXJP_ma_4_12_cross,-0.3617143803625636
USGG2YR_roc_26w,-0.36168569123102595
MXCN_vol_52w,0.3586792714440972
MXRU_ma_12_26_cross,-0.3578469518417566
MXIN_roc_26w,-0.35737046682423257
USGG2YR_roc_52w,-0.3561868255290197
bond_equity_ratio,0.3559995756908753
MXEU_roc_4w,-0.3556389809871886
MXBR_roc_12w,-0.3547358961452666
credit_spread_zscore,-0.3535591385959811
MXCN_vol_26w,0.35083586046249154
MXRU_roc_26w,-0.34830003475244203
MXBR_ma_12_26_cross,-0.34787008752212323
negative_weeks_count_12w,0.34699967052951675
negative_weeks_pct_12w,0.34699967052951614
MXUS_ma_26_52_cross,-0.3456909021297922
MXCN_roc_26w,-0.34498773455710363
MXCN_ma_26_52_cross,-0.34426596956293454
MXBR_roc_52w,-0.3441621350247651
MXEU_ma_26_52_cross,-0.3421198789559479
MXCN_rsi_14w,-0.34099762219066587
MXRU_vol_26w,0.3407331321446744
MXIN_rsi_14w,-0.3361853009534488
MXRU_rsi_14w,-0.3353201225487262
negative_weeks_count_8w,0.33390663587263375
negative_weeks_pct_8w,0.3339066358726329
MXCN_vol_12w,0.3338116658750585
MXRU_vol_12w,0.33307923292948144
MXBR_vol_26w,0.33189811807240815
MXUS_vol_52w,0.326337736782093
MXBR_vol_12w,0.32355087811922245
MXCN_roc_12w,-0.3187142645727275
DXY_vol_12w,0.3159640791074456
MXJP_ma_26_52_cross,-0.3156914132577223
USGG2YR_ma_4_12_cross,-0.3133319493219688
MXJP_roc_4w,-0.31306038567800615
us_de_10y_spread,-0.3115168268892748
MXIN_vol_52w,0.30970895356148986
GT10_roc_52w,-0.30846461148623067
MXBR_ma_26_52_cross,-0.3070431589633194
MXRU_vol_4w,0.30658359201232777
MXEU_vol_52w,0.3045828792143599
GTITL2YR,0.30452781463571177
MXIN_ma_12_26_cross,-0.3039643788627612
MXRU_roc_12w,-0.30343031196229925
MXCN_ma_12_26_cross,-0.300953720367123
MXCN_ma_4_12_cross,-0.29876853865402314
GTITL10YR,0.2975726870916564
negative_weeks_count_4w,0.2957350139712691
negative_weeks_pct_4w,0.29573501397126895
USGG2YR_roc_12w,-0.2957170379870385
GTITL30YR,0.295000136782193
MXIN_vol_26w,0.29495875408755634
MXCN_vol_4w,0.2943018620709069
USGG30YR_roc_52w,-0.2939482797674796
USGG2YR_ma_12_26_cross,-0.29083728735763886
GT10_ma_4_12_cross,-0.29067973043334644
GT10_roc_26w,-0.2900849494183617
MXBR_roc_4w,-0.29006835205340314
GT10_roc_12w,-0.28843781927096
MXRU_ma_4_12_cross,-0.2865327012313708
MXIN_roc_12w,-0.28171452338860703
MXRU_vol_52w,0.28020633659338623
MXJP,-0.27939917736379455
MXCN_roc_4w,-0.2786788545026663
DXY_vol_26w,0.2781730254039214
MXBR_vol_4w,0.27556924579512504
GT10_ma_12_26_cross,-0.26891906277296984
MXIN_vol_12w,0.2660058170473255
USGG30YR_roc_26w,-0.26353684754119305
MXIN_ma_4_12_cross,-0.2627991212276415
DXY_vol_4w,0.2614882925447421
MXJP_vol_26w,0.26001463138426
MXRU_roc_52w,-0.25992832539586425
it_de_10y_spread_zscore,0.25881445603399705
USGG30YR_roc_12w,-0.256442456149303
equity_bond_corr,0.2544831481719852
MXEU,-0.2538771052819367
MXEU_vol_ratio,0.25218556191589603
MXJP_vol_52w,0.25128018180434963
USGG30YR_ma_12_26_cross,-0.2503561941486633
USGG30YR_ma_4_12_cross,-0.2495433223309081
MXUS_vol_ratio,0.24880289941070385
MXRU_ma_26_52_cross,-0.2487784768682827
USGG2YR_ma_26_52_cross,-0.24282986360317024
MXRU_roc_4w,-0.24231739310884445
USGG2YR_roc_4w,-0.24153696124379997
MXUS_roc_1w,-0.2342582872354778
Cl1_ma_4_12_cross,-0.23098240681516466
MXIN_vol_4w,0.22845012242041587
MXBR_vol_52w,0.22507093950775162
GT10_roc_4w,-0.22449527474685987
extreme_indicators_count,0.22130547402129253
extreme_indicators_pct,0.22130547402129253
