Data,original,Y,mean_12w,std_12w,skew_12w,kurt_12w,autocorr_12w,mean_26w,std_26w,skew_26w,kurt_26w,autocorr_26w,mean_52w,std_52w,skew_52w,kurt_52w,autocorr_52w
2000-01-11,6.657,0,,,,,,,,,,,,,,,
2000-01-18,6.748,0,,,,,,,,,,,,,,,
2000-01-25,6.692,0,,,,,,,,,,,,,,,
2000-02-01,6.619,0,,,,,,,,,,,,,,,
2000-02-08,6.613,1,,,,,,,,,,,,,,,
2000-02-15,6.552,1,,,,,,,,,,,,,,,
2000-02-22,6.361,1,,,,,,,,,,,,,,,
2000-02-29,6.409,1,,,,,,,,,,,,,,,
2000-03-07,6.373,0,,,,,,,,,,,,,,,
2000-03-14,6.292,0,,,,,,,,,,,,,,,
2000-03-21,6.135,0,,,,,,,,,,,,,,,
2000-03-28,6.151,0,6.466833333333334,0.2092131724226546,-0.3312826860800235,-1.2042160520792136,0.9189181392925936,,,,,,,,,,
2000-04-04,5.895,0,6.403333333333333,0.25653542492689807,-0.5214131938662047,-0.3292218939169774,0.9298531074155872,,,,,,,,,,
2000-04-11,5.882,0,6.331166666666667,0.2720981886055549,-0.4467496380575757,-0.8144047105077871,0.9333336913572768,,,,,,,,,,
2000-04-18,6.059,0,6.278416666666668,0.25670905297396057,-0.2138687317735405,-1.082741698955502,0.8883221338069449,,,,,,,,,,
2000-04-25,6.128,1,6.237500000000001,0.23576432762786226,-0.0016615969739976124,-0.8628173804806403,0.8602468552017891,,,,,,,,,,
2000-05-02,6.299,1,6.211333333333332,0.2058239907093313,-0.20164001885846178,-0.6360617004439676,0.7615462465390849,,,,,,,,,,
2000-05-09,6.529,1,6.209416666666667,0.20244256574209432,-0.276171269862603,-0.7275806703847144,0.721740131697248,,,,,,,,,,
2000-05-16,6.424,1,6.214666666666666,0.20748508526171316,-0.2694972489435484,-0.8692926445567056,0.7346646623380972,,,,,,,,,,
2000-05-23,6.435,0,6.216833333333334,0.20982149700652783,-0.25812054581443716,-0.9179399035947502,0.7461527371862079,,,,,,,,,,
2000-05-30,6.376,0,6.217083333333334,0.21002617080793098,-0.2590173025032669,-0.9244903005395233,0.7623322689171134,,,,,,,,,,
2000-06-06,6.122,0,6.202916666666667,0.21024680662728143,-0.03025624145314018,-0.9925047250731635,0.7257981793009745,,,,,,,,,,
2000-06-13,6.116,0,6.201333333333334,0.21087537609314183,-0.006949944528644531,-1.0266344199914443,0.7281995323681164,,,,,,,,,,
2000-06-20,6.02,0,6.190416666666667,0.21701925274179212,0.11260183478172392,-1.2701780682031587,0.7760249015338458,,,,,,,,,,
2000-06-27,6.085,0,6.20625,0.19975081067078587,0.19524132591256393,-1.0799247497753337,0.729165112038946,,,,,,,,,,
2000-07-04,5.989,0,6.215166666666666,0.18586643950249082,0.4744853079944621,-1.4143841691521024,0.7227949039569593,6.306192307692308,0.2545265438779648,0.061026027682606176,-1.1009041590974584,0.8802975097117981,,,,,
2000-07-11,6.048,0,6.21425,0.18673175948402498,0.47113578354889807,-1.4253575329333457,0.7439398229962703,6.2827692307692296,0.24891176070122648,0.20234742412402137,-1.0067101189962988,0.876026663097603,,,,,
2000-07-18,6.141,0,6.215333333333334,0.18622290325566682,0.4582648866610701,-1.415968975577221,0.7803268263358087,6.259423076923077,0.231379717879839,0.2187807962259921,-0.9941882277099793,0.8537965480707651,,,,,
2000-07-25,6.028,0,6.19275,0.19151127429427736,0.7368026850744375,-1.197767621804033,0.8498650989542651,6.233884615384615,0.21798079308472623,0.2537255752971818,-1.0364379212814057,0.8302194928960873,,,,,
2000-08-01,5.984,0,6.147333333333332,0.16765838283048404,1.0087587641995035,-0.5710989171672926,0.8068825690913882,6.209461538461539,0.20847162507530506,0.32480154232187824,-0.9891329478625586,0.8107302199920375,,,,,
2000-08-08,5.918,0,6.105166666666666,0.15489458781162488,1.3099583778151993,1.1516764014896417,0.7549049211956533,6.182730769230768,0.19900141862656331,0.3152218836069085,-1.0624238326327966,0.7896378562802341,,,,,
2000-08-15,5.802,0,6.052416666666666,0.13936378708802052,0.6629452482432533,2.3846738793452182,0.5939894487424703,6.153884615384616,0.1976866868401771,0.2072941074679741,-0.9401910870530461,0.8026587722415676,,,,,
2000-08-22,5.775,0,6.002333333333333,0.11901056739430833,-0.8973889316511752,-0.007166327816733226,0.7728516867576665,6.131346153846154,0.206344361165057,0.22665168936111132,-0.7756036266332327,0.8188222654158422,,,,,
2000-08-29,5.808,0,5.976166666666667,0.12469149809417568,-0.5220732716608927,-0.990908921317702,0.7917222233182953,6.108230769230769,0.20765535055804546,0.3185260121199697,-0.6329650369138569,0.8236420382683971,,,,,
2000-09-05,5.689,0,5.940583333333333,0.14101738018822976,-0.4591055240449017,-0.9552478618856027,0.8351318616225003,6.0819230769230765,0.21593293830760046,0.2842684167975376,-0.3761529656757951,0.8333191116434909,,,,,
2000-09-12,5.772,1,5.9199166666666665,0.1463907959931751,-0.08249433623319391,-1.3947314809225466,0.8377708472905205,6.061923076923076,0.21974492905674525,0.40694461758475864,-0.3109519948533323,0.8505034983068605,,,,,
2000-09-19,5.852,1,5.900500000000001,0.1376982867788066,0.2111075109546463,-1.0144193804946529,0.8222472274286842,6.051038461538462,0.22296573382817958,0.5106599685548288,-0.3471753902939105,0.8537670939938755,,,,,
2000-09-26,5.802,1,5.884916666666666,0.1373531998722703,0.5536365165663859,-0.740713521467835,0.8231900378486127,6.037615384615385,0.22717272317302165,0.6142974848511321,-0.35153156349904713,0.8816425995428725,,,,,
