Data,original,Y,mean_12w,std_12w,skew_12w,kurt_12w,autocorr_12w,mean_26w,std_26w,skew_26w,kurt_26w,autocorr_26w,mean_52w,std_52w,skew_52w,kurt_52w,autocorr_52w
2000-01-11,1416.12,0,,,,,,,,,,,,,,,
2000-01-18,1428.79,0,,,,,,,,,,,,,,,
2000-01-25,1385.93,0,,,,,,,,,,,,,,,
2000-02-01,1385.31,0,,,,,,,,,,,,,,,
2000-02-08,1411.95,1,,,,,,,,,,,,,,,
2000-02-15,1369.47,1,,,,,,,,,,,,,,,
2000-02-22,1315.93,1,,,,,,,,,,,,,,,
2000-02-29,1333.28,1,,,,,,,,,,,,,,,
2000-03-07,1319.95,0,,,,,,,,,,,,,,,
2000-03-14,1324.43,0,,,,,,,,,,,,,,,
2000-03-21,1457.01,0,,,,,,,,,,,,,,,
2000-03-28,1474.82,0,1385.2491666666667,54.316112703712705,0.1622859751873922,-1.169166556810528,0.5434109969772084,,,,,,,,,,
2000-04-04,1465.45,0,1389.36,58.565440476289595,0.14049687534896932,-1.4805183460300528,0.622236532043897,,,,,,,,,,
2000-04-11,1468.75,0,1392.6899999999998,62.043972236705585,0.12529804440307035,-1.6787506091823983,0.7054288823220785,,,,,,,,,,
2000-04-18,1410.47,0,1394.735,62.20511956422883,0.008617336875282117,-1.7149041937573741,0.6789605259497172,,,,,,,,,,
2000-04-25,1439.63,1,1399.2616666666665,63.42145304280417,-0.2102380308308968,-1.814549745253454,0.684177514259599,,,,,,,,,,
2000-05-02,1409.11,1,1399.0249999999999,63.375082212605875,-0.19772212329065086,-1.812621242318266,0.6976835684666727,,,,,,,,,,
2000-05-09,1375.57,1,1399.5333333333335,63.14049965726994,-0.2233216658799274,-1.7742849584785074,0.6947073106103692,,,,,,,,,,
2000-05-16,1426.88,1,1408.7791666666665,57.671835958974015,-0.5316439619474042,-1.2516784232716762,0.6069833706942435,,,,,,,,,,
2000-05-23,1337.55,0,1409.135,57.17469076117846,-0.5277837624669355,-1.234621824959637,0.3951653417592756,,,,,,,,,,
2000-05-30,1379.85,0,1414.1266666666668,50.95724060128252,-0.5352368632486663,-0.8561475584208128,0.22915776462493814,,,,,,,,,,
2000-06-06,1412.52,0,1421.4675,42.50505790758673,-0.5255533494251006,-0.3826431205947478,0.47760696436405403,,,,,,,,,,
2000-06-13,1419.28,0,1418.3233333333335,41.00594842288903,-0.3797578329801733,-0.13718103490394545,0.4162601762146736,,,,,,,,,,
2000-06-20,1425.88,0,1414.245,37.12632256597408,-0.4979924514118883,0.4783334103136503,0.2790832747262253,,,,,,,,,,
2000-06-27,1402.53,0,1409.0016666666668,33.50356937112952,-0.5033281734934489,1.2012881530773944,0.03659722419748009,,,,,,,,,,
2000-07-04,1421.65,0,1405.0766666666666,28.208042480932406,-1.365748791250753,1.9185803363463088,-0.011105468526982552,1400.6965384615385,46.096957638638884,-0.3928694294137023,-0.5841155282218289,0.5580740874412573,,,,,
2000-07-11,1429.53,0,1406.665,29.062994433722277,-1.3814057433162754,1.7324326591872996,0.014759649778094724,1401.2123076923076,46.35075251235458,-0.4137824283018565,-0.6175441878011486,0.5600457218115381,,,,,
2000-07-18,1439.0,0,1406.6125,28.998529782481743,-1.393135068228111,1.7497202829128695,0.09729178733696481,1401.6049999999998,46.63611375318496,-0.4195085066442188,-0.6531924159199424,0.5825630603709956,,,,,
2000-07-25,1418.85,0,1407.4241666666667,29.210327083642174,-1.4551582200023734,1.814245239409302,0.15233982725164832,1402.871153846154,46.64040319953711,-0.5038081621633919,-0.5953016907232744,0.5825647049250986,,,,,
2000-08-01,1391.35,0,1408.7391666666665,27.97501400059274,-1.6855627106903408,3.1046350121118835,0.21130653271933486,1403.1034615384613,46.564415593223856,-0.5208248188087652,-0.5657977452010795,0.58190266975672,,,,,
2000-08-08,1428.75,0,1408.8949999999998,28.090224278208005,-1.6748241281944096,3.0547848536482927,0.5476676236367501,1403.7496153846153,46.80801140666159,-0.5507676567476565,-0.5855033919286965,0.5848477079380486,,,,,
2000-08-15,1427.27,0,1416.3716666666667,17.205688189103043,-1.0491669825706391,0.5459791506321747,0.07377334585217159,1405.9726923076923,46.486286541963615,-0.6948386948543973,-0.38000215510209007,0.5834687408150654,,,,,
2000-08-22,1435.93,0,1421.045,13.62820771248307,-0.9765660575497306,0.827867720112503,0.006593497596784958,1410.5880769230769,43.01640552340302,-0.8149378478454096,0.075531751245642,0.5184461194815889,,,,,
2000-08-29,1450.16,0,1424.1816666666666,15.666849676559739,-0.6563280393059762,0.9549813885656527,0.1696154672877408,1415.0834615384615,40.6567369022463,-0.9882236177955249,0.7548119119572919,0.43158441924669055,,,,,
2000-09-05,1442.61,0,1426.1258333333335,16.43215166475092,-0.8401627064425908,0.7650103903728822,0.3032270249596151,1419.8011538461537,36.02938748598707,-1.031018489317293,1.3821592562484861,0.25193064816252614,,,,,
2000-09-12,1416.78,1,1425.3675,16.653023271795163,-0.6623988463156287,0.3352426648087083,0.2556102512333894,1423.3530769230767,30.35679123612814,-0.7621373982743899,1.4443099016203826,0.4463347570295212,,,,,
2000-09-19,1394.02,1,1424.6583333333335,17.852003622377378,-0.7568765586761976,0.16064273823919406,0.3076139426982674,1420.9303846153848,30.07550823919977,-0.6222667215410431,1.3092766506731583,0.4012593742846584,,,,,
2000-09-26,1365.01,1,1419.9383333333333,24.839790598347104,-1.0982854181623278,0.7412614526953285,0.5736329789404848,1416.7069230769232,29.914963047843887,-0.7067003581776778,0.8754255775812796,0.3554675577470454,,,,,
