Data,original,Y,mean_12w,std_12w,skew_12w,kurt_12w,autocorr_12w,mean_26w,std_26w,skew_26w,kurt_26w,autocorr_26w,mean_52w,std_52w,skew_52w,kurt_52w,autocorr_52w
2000-01-11,22.5,0,,,,,,,,,,,,,,,
2000-01-18,21.5,0,,,,,,,,,,,,,,,
2000-01-25,23.02,0,,,,,,,,,,,,,,,
2000-02-01,23.45,0,,,,,,,,,,,,,,,
2000-02-08,21.25,1,,,,,,,,,,,,,,,
2000-02-15,22.92,1,,,,,,,,,,,,,,,
2000-02-22,25.86,1,,,,,,,,,,,,,,,
2000-02-29,23.37,1,,,,,,,,,,,,,,,
2000-03-07,24.31,0,,,,,,,,,,,,,,,
2000-03-14,24.41,0,,,,,,,,,,,,,,,
2000-03-21,21.7,0,,,,,,,,,,,,,,,
2000-03-28,24.86,0,23.2625,1.4179121975637274,0.242312911580649,-0.6282994121913191,-0.07048592657387075,,,,,,,,,,
2000-04-04,27.12,0,23.647499999999997,1.774450619205843,0.45859594894035316,-0.19982928201444627,0.11218103142509536,,,,,,,,,,
2000-04-11,27.25,0,24.126666666666665,1.9127910750967276,0.32687438070506475,-0.5951719431144687,0.3555715718617421,,,,,,,,,,
2000-04-18,26.12,0,24.385,1.9585314535501979,-0.038655226567353505,-0.9043176623142769,0.4206565586712885,,,,,,,,,,
2000-04-25,25.24,1,24.534166666666664,1.9489878880790368,-0.2940856760805171,-0.7760278845058003,0.4216907238887226,,,,,,,,,,
2000-05-02,28.5,1,25.138333333333332,1.962048249491671,-0.022532230474398264,-0.43167170044949205,0.2844779557783618,,,,,,,,,,
2000-05-09,28.93,1,25.639166666666668,2.10608839637213,-0.1278582333387211,-0.2774661370544044,0.5201222963195142,,,,,,,,,,
2000-05-16,24.34,1,25.5125,2.1370801022976096,0.06664277964633367,-0.4828749204911383,0.39162439851554626,,,,,,,,,,
2000-05-23,25.87,0,25.72083333333333,2.028319762908713,-0.1640665262503314,0.1335299516327824,0.3375129575062123,,,,,,,,,,
2000-05-30,23.62,0,25.66333333333333,2.0810457744008204,-0.13065337968763358,-0.17141204238364668,0.284111546787,,,,,,,,,,
2000-06-06,23.05,0,25.55,2.1897031762318826,-0.09063393208029015,-0.6349652201189997,0.3158981906803676,,,,,,,,,,
2000-06-13,21.67,0,25.5475,2.19451019592072,-0.09981625890440117,-0.6182408159452785,0.47107733788137957,,,,,,,,,,
2000-06-20,20.88,0,25.215833333333336,2.5755403963699215,-0.24257010880878058,-0.887944922696728,0.6714859747303688,,,,,,,,,,
2000-06-27,21.8,0,24.772500000000004,2.673965815379505,0.11926926726197981,-1.1200691558408336,0.6998349971531388,,,,,,,,,,
2000-07-04,19.83,0,24.15416666666667,2.8975427154536986,0.2650760200793155,-0.8213260654184941,0.7286262026140581,23.97576923076923,2.3795985763601784,0.41629839726480716,-0.46292888758356876,0.6286662557402577,,,,,
2000-07-11,20.11,0,23.653333333333336,3.0426374125489275,0.5417594628842424,-0.6951359454267225,0.7633544481780441,23.883846153846154,2.4828114337147356,0.3324254506335068,-0.5812380202931142,0.662111653813052,,,,,
2000-07-18,19.75,0,23.195833333333336,3.191478592449057,0.776373003679793,-0.504169820421404,0.8406639048551959,23.816538461538464,2.5721352099882973,0.23865553546579796,-0.6264750294949598,0.698353011196451,,,,,
2000-07-25,19.39,0,22.436666666666667,2.8837328502333857,1.0943950415168295,0.8703269498721441,0.8114439691129838,23.676923076923078,2.711825612727736,0.18375222119259618,-0.7697256166998105,0.730201432957179,,,,,
2000-08-01,20.55,0,21.738333333333333,2.067479068085024,0.773620225387639,-0.3974060252691806,0.8214567226570009,23.565384615384612,2.780306789934134,0.23933894644084527,-0.9049539394443923,0.7535633117113137,,,,,
2000-08-08,18.79,0,21.275833333333335,2.0532964995712484,1.0707269182017305,0.8287609273906936,0.8237210669187524,23.470769230769232,2.9014698662256326,0.14543694961971185,-0.929028723356587,0.7719706959926897,,,,,
2000-08-15,17.98,0,20.618333333333332,1.6772479262353073,0.384914998815936,-0.4045611452667717,0.7732616059417702,23.280769230769234,3.094315980085969,0.07785066503145403,-0.9910915503694288,0.8170859685534754,,,,,
2000-08-22,17.47,0,20.105833333333333,1.6151243033127676,0.10695199582098483,-0.2882302446685893,0.7499787822422166,22.958076923076923,3.248230311084201,0.12150351315437237,-0.9336699594076087,0.8473157111920931,,,,,
2000-08-29,16.89,0,19.5925,1.572670716271599,-0.3120352598300262,-0.765683793709279,0.7793700253194301,22.708846153846153,3.4572351113837527,0.10110389459152444,-1.0001146247992982,0.8670997149215325,,,,,
2000-09-05,19.82,0,19.438333333333333,1.435167607147717,-0.35272450702874253,-0.3526280344401054,0.5519689480271749,22.536153846153848,3.486076392648995,0.23089161851933426,-1.0217474082688989,0.8572322161773546,,,,,
2000-09-12,18.59,1,19.2475,1.3771190283275678,-0.04754722594307323,-0.09672073971178495,0.4498869427575264,22.31230769230769,3.547259570645836,0.35847501628021233,-1.031650290413822,0.870382032750582,,,,,
2000-09-19,19.54,1,19.059166666666666,1.1283814501177105,-0.7403357009943105,-0.430310605158757,0.3720260602532998,22.22923076923077,3.5872417516269244,0.40211644308236677,-1.0776036948388745,0.8887506616395623,,,,,
2000-09-26,21.88,1,19.23,1.3823037424400193,0.05806353889437532,0.08318156178783119,0.34677588833063505,22.114615384615384,3.5472076124966057,0.5032174133092212,-0.9181253342648447,0.8841696291239084,,,,,
