Data,original,trend,seasonal,residual,Y,residual_volatility
2005-10-25,472.8,494.6769414099388,-14.77129412418929,-7.105647285749512,0,9.402477342657608
2005-11-01,459.95,497.83508619741565,-14.650235039594532,-23.23485115782114,0,9.453122667418643
2005-11-08,461.4,501.036093878325,-1.4659621336495916,-38.170131744675416,0,12.629328013745813
2005-11-15,468.2,504.27168765607826,-2.9038190621732856,-33.167868593904984,0,14.086581191916874
2005-11-22,492.55,507.5339113948179,4.2755604218820995,-19.2594718167,0,13.967398054687022
2005-11-29,498.3,510.8154957020246,9.967551792042794,-22.483047494067364,0,14.14336687080705
2005-12-06,509.08,514.1099160462038,13.07180586151539,-18.101721907719195,0,14.177721720184952
2005-12-13,522.9,517.4113094355557,7.59943102714559,-2.110740462701301,0,13.696148460707347
2005-12-20,495.68,520.7145616858226,-2.92869996210667,-22.10586172371586,0,13.697108809657704
2005-12-27,507.88,524.015249839539,1.1716114479128563,-17.30686128745191,0,13.060427725149616
2006-01-03,528.7,527.3094889278868,8.626740213043679,-7.236229140930504,0,11.12742017937803
2006-01-10,542.08,530.5936108451112,6.491675750861109,4.994713404027721,0,12.466476293118506
2006-01-17,555.98,533.8640235287271,13.0937049573047,9.022271513968235,0,14.36722691034676
2006-01-24,557.4,537.1170834546668,14.997157012133236,5.285759533199894,0,15.34465748608273
2006-01-31,571.95,540.3488788967738,19.175760553099213,12.425360550127039,0,14.859193976646598
2006-02-07,552.25,543.5548409310597,9.733153646825304,-1.0379945778850015,0,12.908687407420528
2006-02-14,546.7,546.7300276094034,13.96326035845718,-13.99328796786051,0,12.51883985795461
2006-02-21,554.55,549.8695696375279,15.684035334259528,-11.003604971787468,0,11.550433666670429
2006-02-28,561.2,552.968769730137,22.445408890863703,-14.214178621000656,0,11.201790255353492
2006-03-07,553.2,556.0236052855897,13.317050932055391,-16.140656217645073,0,11.622873384815094
2006-03-14,550.55,559.0309633003528,11.432012047518253,-19.91297534787111,0,11.359907334250035
2006-03-21,551.35,561.988387227688,15.524270007182048,-26.16265723487004,0,12.416736690744159
