Data,original,Y,mean_12w,std_12w,skew_12w,kurt_12w,autocorr_12w,mean_26w,std_26w,skew_26w,kurt_26w,autocorr_26w,mean_52w,std_52w,skew_52w,kurt_52w,autocorr_52w
2000-01-11,100.56,0,,,,,,,,,,,,,,,
2000-01-18,101.86,0,,,,,,,,,,,,,,,
2000-01-25,102.41,0,,,,,,,,,,,,,,,
2000-02-01,104.92,0,,,,,,,,,,,,,,,
2000-02-08,104.22,1,,,,,,,,,,,,,,,
2000-02-15,104.69,1,,,,,,,,,,,,,,,
2000-02-22,103.28,1,,,,,,,,,,,,,,,
2000-02-29,105.92,1,,,,,,,,,,,,,,,
2000-03-07,106.01,0,,,,,,,,,,,,,,,
2000-03-14,105.2,0,,,,,,,,,,,,,,,
2000-03-21,105.81,0,,,,,,,,,,,,,,,
2000-03-28,105.53,0,104.20083333333334,1.7870771379461217,-0.9291139731064217,-0.21206979230081136,0.706986594826694,,,,,,,,,,
2000-04-04,105.17,0,104.585,1.3831025729398139,-1.0047355443252362,-0.11236178251789523,0.5225111480866386,,,,,,,,,,
2000-04-11,105.94,0,104.925,1.1308042190486336,-1.2421589360425576,0.9552579102088317,0.17832610939886992,,,,,,,,,,
2000-04-18,106.63,0,105.27666666666669,0.9127215380720514,-0.8306755768703052,0.8185820115934209,0.2782037345864064,,,,,,,,,,
2000-04-25,108.67,1,105.58916666666666,1.327310735238283,0.6901986752502367,2.2609254950082156,0.49993143281573343,,,,,,,,,,
2000-05-02,110.26,1,106.09249999999999,1.8161203654543896,1.1464105000679958,1.9600979337935591,0.7467464155931138,,,,,,,,,,
2000-05-09,110.75,1,106.59749999999998,2.1939218723140956,0.8778952569371998,0.2312509745665409,0.8551367132924861,,,,,,,,,,
2000-05-16,111.31,1,107.26666666666667,2.3115257980718122,0.923541718705276,-0.9486830223056131,0.9417181831747481,,,,,,,,,,
2000-05-23,111.44,0,107.72666666666667,2.555540623583959,0.5188757634960026,-1.7386029982889055,0.9493347571862362,,,,,,,,,,
2000-05-30,108.93,0,107.97000000000001,2.5159346717924302,0.24099226551695163,-1.84868500162315,0.894074785459133,,,,,,,,,,
2000-06-06,106.59,0,108.08583333333335,2.4064249542851046,0.24779097437782718,-1.7756593663608593,0.8305075546768355,,,,,,,,,,
