Data,BDIY,CRY,Cl1,DXY,ECSURPUS,EMUSTRUU,EONIA,GBP,GT10,GTDEM10Y,GTDEM2Y,GTDEM30Y,GTGBP20Y,GTGBP2Y,GTGBP30Y,GTITL10YR,GTITL2YR,GTITL30YR,GTJPY10YR,GTJPY2YR,GTJPY30YR,JPY,LF94TRUU,LF98TRUU,LG30TRUU,LMBITR,LP01TREU,LUACTRUU,LUMSTRUU,MXBR,MXCN,MXEU,MXIN,MXJP,MXRU,MXUS,US0001M,USGG2YR,USGG30YR,USGG3M,VIX,XAUBGNL,Y,Year,us_slope_10y_2y,us_slope_30y_2y,us_slope_10y_3m,us_slope_2y_3m,de_slope_10y_2y,de_slope_30y_2y,it_slope_10y_2y,it_slope_30y_2y,uk_slope_20y_2y,uk_slope_30y_2y,jp_slope_10y_2y,jp_slope_30y_2y,us_de_10y_spread,it_de_10y_spread,us_curvature,de_curvature,us_slope_10y_2y_zscore,de_slope_10y_2y_zscore,it_de_10y_spread_zscore,VIX_vol_4w,VIX_vol_12w,VIX_vol_26w,VIX_vol_52w,MXUS_vol_4w,MXUS_vol_12w,MXUS_vol_26w,MXUS_vol_52w,MXEU_vol_4w,MXEU_vol_12w,MXEU_vol_26w,MXEU_vol_52w,MXJP_vol_4w,MXJP_vol_12w,MXJP_vol_26w,MXJP_vol_52w,MXBR_vol_4w,MXBR_vol_12w,MXBR_vol_26w,MXBR_vol_52w,MXRU_vol_4w,MXRU_vol_12w,MXRU_vol_26w,MXRU_vol_52w,MXIN_vol_4w,MXIN_vol_12w,MXIN_vol_26w,MXIN_vol_52w,MXCN_vol_4w,MXCN_vol_12w,MXCN_vol_26w,MXCN_vol_52w,GT10_vol_4w,GT10_vol_12w,GT10_vol_26w,GT10_vol_52w,DXY_vol_4w,DXY_vol_12w,DXY_vol_26w,DXY_vol_52w,XAUBGNL_vol_4w,XAUBGNL_vol_12w,XAUBGNL_vol_26w,XAUBGNL_vol_52w,Cl1_vol_4w,Cl1_vol_12w,Cl1_vol_26w,Cl1_vol_52w,MXUS_vol_ratio,MXEU_vol_ratio,MXJP_vol_ratio,MXBR_vol_ratio,MXRU_vol_ratio,MXIN_vol_ratio,MXCN_vol_ratio,GT10_vol_ratio,DXY_vol_ratio,XAUBGNL_vol_ratio,Cl1_vol_ratio,vix_zscore_52w,vix_percentile_52w,realized_vol_4w,vol_risk_premium,eq_bond_vol_ratio,eq_fx_vol_ratio,eq_gold_vol_ratio
2018-09-18,1356,190.5617,69.85,94.64,0.059,1058.5716,-0.366,1.3134,3.056,0.479,-0.528,1.126,1.8819,0.8139,1.9121,2.787,0.617,3.458,0.112,-0.111,0.847,112.35,332.9154,1997.3,1294.4211,1162.1783,382.2923,2824.72,2056.76,1647.12,77.0,127.54,1333.13,1049.03,594.03,2767.04,2.16813,2.7988,3.2014,2.1612,12.79,1198.41,0,2018,0.2572000000000001,0.40260000000000007,0.8948,0.6376,1.0070000000000001,1.654,2.17,2.841,1.068,1.0981999999999998,0.223,0.958,2.577,2.308,-0.11180000000000012,-0.3600000000000001,-1.4322828270947252,-0.9161993389062119,1.0465598938735474,0.28383276569638344,0.7671299750541726,1.0363925402746839,1.391672305467205,0.05007912011188966,0.07333417905543858,0.10726492283089047,0.10236115480310896,0.08453662421550541,0.0760115405287513,0.09368129830271804,0.11254831961649255,0.17103395279029457,0.13028188411321892,0.1152347942776939,0.13950241820169829,0.2785131577555144,0.2998367199181024,0.26342684785228987,0.2565942291953597,0.25436781354003724,0.26194947776867555,0.2722156437609639,0.22881821966307286,0.1300859045084566,0.10148347640254396,0.10071900819697814,0.12872334826726547,0.3024899499050838,0.17770755351435172,0.18660146058886012,0.20587940041870478,0.07006785053703053,0.13644545906112102,0.21693350474248754,0.18886706843068207,0.04632720145202376,0.06108796224560678,0.06466498931971668,0.06239771564827289,0.07397399049973388,0.06872853975258025,0.07755924609390245,0.08285760233368557,0.0934077354353522,0.2294954107920722,0.24664551451039138,0.2270806982090306,0.4892394991851795,0.751114050423527,1.2260285878557797,1.0854225312427686,1.111658913851289,1.0105851522628364,1.4692579699081039,0.37099030084615736,0.7424502799615877,0.8927845896605184,0.4113415898931631,-0.28704394486973617,0.5,0.05007912011188966,255.39586101800197,0.7147232251034029,1.080987379817263,0.6769828121151558
2018-09-25,1450,195.1227,72.28,94.133,0.094,1065.1633,-0.367,1.3169,3.097,0.542,-0.504,1.16,1.9539,0.8294,1.9814,2.875,0.829,3.483,0.128,-0.107,0.907,112.92,333.4949,1995.94,1301.8208,1160.1621,382.4768,2822.62,2053.74,1656.8,79.27,129.42,1303.12,1083.71,620.44,2777.6,2.21819,2.8391,3.2258,2.2047,12.42,1201.09,0,2018,0.2578999999999998,0.3866999999999998,0.8923000000000001,0.6344000000000003,1.046,1.664,2.0460000000000003,2.654,1.1244999999999998,1.1520000000000001,0.235,1.014,2.5549999999999997,2.333,-0.12909999999999977,-0.42800000000000016,-1.3801068769956586,-0.48221461574953106,1.0593828724009013,0.2854018748529526,0.765281996691333,0.9748411737459094,1.3923581519223716,0.02913981342040869,0.07058021842542218,0.08858001855199486,0.10211932590548627,0.1076791510710476,0.08054115150563347,0.09038841834771459,0.11337202595089595,0.18351814111730452,0.13455587652547546,0.12364429915688632,0.14307232264871828,0.27668800021184475,0.2999917045762959,0.26446316818811877,0.2549896388047806,0.27662912591197497,0.2665842423572612,0.28026201631168024,0.23153615145032094,0.07109810981864709,0.11511322587101439,0.10748569837499103,0.12705982319947307,0.3111844055977532,0.19480728423939236,0.18530579414320025,0.20565643252666402,0.07342020686332186,0.1283783320271991,0.2073368733900782,0.18872727399060424,0.04592973077500212,0.06209518286608155,0.06278100613058199,0.06142375727566679,0.051015012724210856,0.06985451827418938,0.06610933353914297,0.08271649504247645,0.1325626082379348,0.21412108541331326,0.24794642963734925,0.2249375342729356,0.28535062449764154,0.9497858944294242,1.2826949176458944,1.085095070955712,1.1947556534009736,0.5595640543827071,1.5131275096751817,0.3890280684442943,0.747751892950341,0.6167453383755405,0.5893307609439937,-0.3847034606064241,0.4423076923076923,0.02913981342040869,426.22098572880316,0.39689091961638034,0.6344433753195093,0.5712007478649404
2018-10-02,1570,199.9694,75.23,95.507,0.118,1070.8803,-0.351,1.2981,3.064,0.421,-0.569,1.052,1.8578,0.7912,1.8916,3.448,1.47,3.823,0.125,-0.118,0.914,113.72,332.0381,2004.71,1302.1336,1162.9954,382.0489,2835.83,2060.59,1796.35,77.82,128.85,1292.85,1087.37,625.15,2783.88,2.26513,2.8108,3.2175,2.2073,12.05,1203.99,0,2018,0.2532000000000001,0.40669999999999984,0.8567,0.6034999999999999,0.99,1.621,1.978,2.3529999999999998,1.0665999999999998,1.1004,0.243,1.032,2.6430000000000002,3.027,-0.09970000000000034,-0.3589999999999999,-1.3710497119573912,-1.0391147998462376,2.2055635614865965,0.12658677225069834,0.6186037709545142,0.9725560416341067,1.3906613814332254,0.02813813592521451,0.04536734847215988,0.08842846774443917,0.1014045268861,0.08948983874231535,0.0717629682051484,0.0907133179838923,0.11212292956137734,0.1634618317348415,0.13308845326221969,0.12220822132513182,0.14301884757427594,0.30093225897832376,0.34288781956970915,0.2945745208271339,0.26644592327259103,0.26222989172244365,0.24356019934151668,0.28052583360762384,0.23158566720348914,0.07333254285270767,0.11018522469162055,0.10845675905909655,0.12745555393815508,0.30294834611734306,0.19447369361384176,0.18358158197394753,0.20221351238876545,0.12709673451930278,0.13393419820680436,0.2083759237298656,0.18657890341256667,0.07045926334529666,0.06845616465689314,0.06448777424471676,0.06278030313240639,0.0017699984156258088,0.07024089558338598,0.06651411173359201,0.08100907620724168,0.1669901202635887,0.23176136275791737,0.24865784559641585,0.2245604044959748,0.27748402156463825,0.7981403901271382,1.1429390916462854,1.1294309002072853,1.1323234934570805,0.5753577665849746,1.4981607437534141,0.6811956346332692,1.1223147998615906,0.02184938402578133,0.7436311875123202,-0.48612485101492964,0.34615384615384615,0.02813813592521451,428.24443069101915,0.22139149390137194,0.3993532516415786,15.897266165216234
2018-10-09,1503,200.3717,74.96,95.668,0.255,1061.4812,-0.362,1.3131,3.207,0.547,-0.531,1.164,2.037,0.908,2.0651,3.472,1.374,3.922,0.156,-0.12,0.943,113.08,329.1993,1986.14,1290.4817,1154.772,381.7575,2808.17,2044.28,1994.2,73.75,125.98,1199.92,1051.18,613.16,2739.78,2.28406,2.8851,3.3685,2.2345,15.95,1188.19,1,2018,0.32189999999999985,0.48340000000000005,0.9724999999999997,0.6505999999999998,1.078,1.6949999999999998,2.098,2.548,1.129,1.1571000000000002,0.276,1.063,2.6599999999999997,2.925,-0.16039999999999965,-0.4610000000000002,-0.9490326830625201,-0.0899022793072302,1.9072302055838464,1.276653839885279,0.9037367273528014,1.081724291617047,1.4232086522209497,0.07145723606359415,0.060422013235999106,0.09097006617063982,0.10305175377903013,0.119214277100277,0.08444707829607143,0.08911077641736473,0.11425013874009918,0.2330224815595797,0.15235029015023382,0.13080184727960117,0.14716726069717695,0.32233648034058854,0.4015946742592978,0.33572564574550334,0.28941120624113065,0.26404388433054893,0.23665913447530648,0.22220093470239816,0.2324456662191819,0.23144135624561615,0.18770920809248848,0.1496157815845296,0.14616402147553953,0.2662793211899744,0.21492717115758872,0.18930335645494367,0.20772641829637226,0.17358686943813897,0.15786391748419212,0.21680338084457063,0.19076666958951555,0.06970840405814392,0.06631380144140545,0.06311687763099504,0.06269501102261114,0.05574264581252782,0.06084181239484369,0.06665662080136274,0.08051912236876854,0.15221726760067902,0.1371740718426674,0.24644332952767972,0.22486133665785826,0.6934111593754836,1.0434497359471084,1.5833853294250362,1.1137664105239427,1.1359380823283316,1.583435881889359,1.28187509019706,0.9099433869221316,1.1118652492620724,0.6922907773042131,0.6769383739468199,0.40252567357817254,0.75,0.07145723606359415,223.21042456505205,0.4116511594159448,1.0250878216060078,1.2819132465279315
2018-10-16,1578,199.7208,71.92,95.048,0.241,1065.1076,-0.368,1.3187,3.164,0.49,-0.57,1.116,1.9652,0.8094,1.994,3.45,1.287,3.906,0.144,-0.118,0.91,112.17,331.5172,1987.23,1295.1003,1154.5581,380.9846,2811.77,2048.28,2012.37,72.25,123.26,1235.01,1008.17,614.5,2674.04,2.2895,2.8655,3.3338,2.297,17.62,1228.43,1,2018,0.2985000000000002,0.46830000000000016,0.867,0.5684999999999998,1.06,1.686,2.1630000000000003,2.619,1.1558000000000002,1.1846,0.262,1.028,2.6740000000000004,2.96,-0.12870000000000026,-0.43399999999999983,-1.0538586860498227,-0.2736643543774112,1.8579749999684987,1.2014645114769174,0.9169680574934282,1.0225096759491823,1.4254914815224986,0.09865011316362945,0.08071630492833583,0.09564861385472365,0.1063775403580104,0.12613784857912086,0.08899336737670566,0.09344981289553088,0.11612108110046189,0.24734672854115672,0.1759285527606617,0.14372876303650425,0.15200449793319964,0.38124058469458433,0.3936120481453901,0.33610102897795563,0.2892426709141872,0.19077066341911586,0.23288114354092834,0.2197268395003034,0.2322689703224547,0.3018770397178257,0.19606705836761115,0.15439656738319274,0.1473991464964067,0.24306997821307846,0.21158082156085384,0.18731471254469106,0.20841815286241747,0.20083804196682997,0.15688457123555405,0.21836517623278123,0.18903451150602404,0.06987169906945245,0.06735269391544753,0.06424889383683868,0.06306080811060029,0.1423333098064281,0.09748984170230376,0.08509525634148558,0.08789366211036818,0.2725689741088438,0.17081363988310339,0.2544645799398343,0.22971815106999757,0.9273584708917453,1.0862614039047138,1.627232956289599,1.3180648052018962,0.8213351234746187,2.0480243399861537,1.166261071191508,1.0624411403334135,1.1080051328696385,1.6193808107312675,1.186536513720194,0.7649825349153819,0.8076923076923077,0.09865011316362945,178.6110470119175,0.49119236673260497,1.4118751150672788,0.6930922445195199
2018-10-23,1577,194.9694,66.43,95.961,0.154,1059.8638,-0.368,1.2995,3.169,0.408,-0.612,1.022,1.8335,0.7315,1.8683,3.589,1.221,4.064,0.146,-0.118,0.912,112.21,329.4373,1974.82,1285.087,1156.6995,378.8371,2800.67,2047.02,1990.88,71.57,119.74,1171.12,985.15,587.44,2606.84,2.2865,2.879,3.3679,2.3227,20.71,1231.11,1,2018,0.29000000000000004,0.4889000000000001,0.8462999999999998,0.5562999999999998,1.02,1.634,2.368,2.843,1.1019999999999999,1.1368,0.264,1.03,2.761,3.181,-0.09109999999999996,-0.4059999999999999,-1.0846707596596024,-0.6711398370862435,2.0830476008865375,1.0614871464463327,0.961391991439095,1.02042086165238,1.4322821627956914,0.09124715706544848,0.09582319049998846,0.09502534233773306,0.10973159397636632,0.07466673481921815,0.09576502223635955,0.10010573374507636,0.1193086594810228,0.1394441287302322,0.18067878519956512,0.1426113734863197,0.15218283417971923,0.41901562114658447,0.3948784008511897,0.3362683817048889,0.2884720112959077,0.16939647088155468,0.2414174809238075,0.22497460236435082,0.23558904266482011,0.3264039486166278,0.2112879257355861,0.16984886740444974,0.15630024588642924,0.1352273701701021,0.211738075321675,0.18673090486122867,0.20817842257976626,0.2008667984812899,0.15712199813383756,0.2024289683346935,0.18336598086941416,0.06661415283239072,0.06991903106610035,0.06289108208065707,0.0636836327115533,0.14236081195807856,0.09756865103001117,0.08469395643437888,0.087735969854131,0.36208288726107446,0.23958526120973062,0.27734971169497036,0.24422446630299816,0.8315486338884408,0.625828293973034,0.9162934143121336,1.452534751167829,0.719033741830516,2.088313724431369,0.6495743818900731,1.0954420090842212,1.0460168491661088,1.6226048699839566,1.4825823667144582,1.4299624197917016,0.9230769230769231,0.09124715706544848,226.96597533603622,0.4542669956177345,1.3697863469800085,0.6409569867606425
2018-10-30,1513,191.7583,66.18,97.011,0.082,1058.0419,-0.369,1.2711,3.124,0.368,-0.631,1.014,1.7714,0.7134,1.8173,3.472,1.124,3.991,0.116,-0.128,0.857,112.88,329.5084,1963.94,1277.686,1157.6151,376.9165,2800.13,2050.55,2024.3,68.65,120.19,1187.78,963.69,585.63,2551.09,2.302,2.8507,3.3637,2.3227,23.35,1222.85,0,2018,0.2733000000000003,0.5130000000000003,0.8012999999999999,0.5279999999999996,0.999,1.645,2.348,2.867,1.058,1.1038999999999999,0.244,0.985,2.7560000000000002,3.104,-0.033600000000000296,-0.353,-1.1620123085142928,-0.8670230693998437,1.8511793640436491,0.7096559619085501,0.8614412543589591,1.0058993678853754,1.4308057439664705,0.029850758406050098,0.09422827341423569,0.0999334845049815,0.11204732828238592,0.10310077819713775,0.0983891526744208,0.09992653696703217,0.11828995930491137,0.0656235834546075,0.1841204029842601,0.14511027580286817,0.15354095353835512,0.3879042761791937,0.39385916486336714,0.33729939862622144,0.2874106796852977,0.14974786469425308,0.23742120646022252,0.22489721327592638,0.2352318804041647,0.3555885362072194,0.21454322839830195,0.1702758699596466,0.15612214579033135,0.13989668874691766,0.2190446775287399,0.1896832952707589,0.2113505453503821,0.20630845564417838,0.16262962742956985,0.20282895992477742,0.18309505650810542,0.058108050563465546,0.07200692322145276,0.05961101969301329,0.06406572801736957,0.15029571571639813,0.09514309094520707,0.08173311133058767,0.08784734560043161,0.2511744117240408,0.23884402169977037,0.27723608900091234,0.24227323173136442,0.26641204983325517,0.8715936568325207,0.4274011717545735,1.349651573852204,0.6365968100793273,2.2776303413403447,0.6619178035003104,1.126783319980271,0.9070067938307238,1.7108737286156508,1.036740253675842,1.930262893812314,0.9615384615384616,0.029850758406050098,782.2246819453494,0.14468994163542143,0.5137112347874608,0.19861350181383253
2018-11-06,1395,191.2101,62.21,96.317,0.099,1060.1588,-0.362,1.3084,3.229,0.433,-0.608,1.067,1.9017,0.8114,1.9382,3.394,0.916,3.934,0.125,-0.131,0.884,113.48,329.6529,1975.01,1287.3117,1152.397,379.646,2793.72,2040.18,2045.61,74.41,122.51,1232.31,991.63,613.46,2620.68,2.316,2.9279,3.4433,2.338,19.91,1226.11,0,2018,0.3010999999999999,0.5153999999999996,0.891,0.5899000000000001,1.041,1.6749999999999998,2.478,3.0180000000000002,1.0903,1.1267999999999998,0.256,1.0150000000000001,2.7960000000000003,2.9610000000000003,-0.08680000000000021,-0.40700000000000003,-0.946315716722797,-0.4077577904252208,1.554414804456441,1.0428446805583638,0.9019209425683099,1.0300847971707752,1.440788330377712,0.1834466703451804,0.11611039664921378,0.10658461198361247,0.11502904823383105,0.16043588781603435,0.11114324634839826,0.10254309545186267,0.12017204251912435,0.21678853676981466,0.19404379578777042,0.15193684328493845,0.15342624330679094,0.08572322885111176,0.35916992887749644,0.32700347230229376,0.2861178043083895,0.270136885530517,0.22347783733038454,0.2350917475520552,0.23660131840450782,0.2921980296703981,0.23463552117183462,0.17863539764002254,0.16064603926454868,0.39850955937450955,0.2975710898765346,0.23070661204958892,0.22585627424076732,0.16120356170188738,0.15812948116988035,0.2075820368550295,0.18207455527100633,0.07129210898601145,0.06577487454924535,0.06038932703291399,0.06443051231837459,0.1281707958894959,0.08825561772153524,0.08127813262594877,0.08780110181164359,0.22522911666442297,0.26147008074350425,0.28682967417712746,0.24570064183481197,1.5947856055652134,1.3350516846753466,1.4129821085192351,0.2996081598568251,1.1417387162174422,1.8188934567456856,1.764438737485284,0.8853711682115394,1.1064960749300148,1.4597857344029224,0.9166810268890047,1.1084812372184396,0.8461538461538461,0.1834466703451804,108.53290475393513,1.1379814962427879,2.5731693584934527,1.4312673107167198
2018-11-13,1064,184.5372,55.69,97.303,0.097,1057.7424,-0.361,1.2986,3.141,0.408,-0.573,1.053,1.9325,0.7939,1.9732,3.443,1.014,4.002,0.109,-0.143,0.869,113.95,328.1776,1966.07,1279.0739,1156.1329,378.3015,2799.26,2046.7,1936.23,72.65,123.25,1238.77,978.5,586.26,2586.65,2.30663,2.8911,3.3592,2.337,20.02,1201.95,0,2018,0.24990000000000023,0.4681000000000002,0.8039999999999998,0.5540999999999996,0.9809999999999999,1.626,2.4290000000000003,2.9879999999999995,1.1386,1.1793,0.252,1.012,2.733,3.035,-0.031700000000000284,-0.33599999999999997,-1.2432418700163268,-1.0081660110993158,1.588312206114108,1.0387897056077402,0.890204241635522,1.0296080035491753,1.433581108340915,0.17376888894141315,0.11532972824916947,0.10665536632722343,0.11578069768658508,0.1465270590731933,0.1132851928085447,0.10228925008085664,0.11754505759611798,0.17680621227781176,0.19454937564102773,0.15084823880351486,0.15269783441010393,0.22904124285810784,0.3400743692869152,0.33598576924416534,0.28985859096084715,0.3140571252611193,0.2454267868792494,0.23901886989873022,0.24078107567529217,0.27315935051571044,0.23155286301719183,0.17881087928946146,0.15948799545983788,0.4020853268379839,0.2977701738773346,0.2286162639107664,0.2267782645373017,0.18927121364983046,0.16199118421976041,0.20751923653524043,0.18420967920367462,0.0629152665189504,0.05952840603291191,0.061683876053683986,0.06404078725293946,0.07550174785056347,0.09941951515194739,0.08226617128969235,0.08964464046249557,0.30681827131326334,0.3311881233729585,0.3155147779855774,0.26664132497342186,1.5008450666949718,1.2465607833266523,1.1578829062038918,0.7901826959789705,1.3043264483320287,1.7127267148109413,1.7730329123841,1.0274770276352279,0.9824249391322495,0.8422338185644347,1.1506778678955567,1.0901348782435607,0.8461538461538461,0.17376888894141315,115.21049666577439,0.9180946515348178,2.761951090027936,2.301521406965896
2018-11-20,1003,183.7848,53.43,96.836,0.08,1051.5561,-0.362,1.2796,3.064,0.349,-0.598,1.011,1.8812,0.7019,1.9607,3.614,1.358,4.12,0.098,-0.145,0.843,112.7,327.6306,1940.96,1263.4557,1161.6264,369.6251,2790.35,2057.81,2021.95,72.74,118.85,1240.92,971.4,593.68,2510.5,2.30025,2.8037,3.3147,2.3791,22.48,1222.07,0,2018,0.2603,0.5110000000000001,0.6848999999999998,0.42459999999999987,0.947,1.609,2.256,2.762,1.1793,1.2588000000000001,0.243,0.988,2.715,3.2649999999999997,-0.009599999999999831,-0.28500000000000003,-1.128638972538328,-1.319177567195093,1.8271743395335034,0.9322267466217733,0.8879545342750774,1.0239436034191378,1.4239613964335458,0.1816251037862852,0.11951820878298966,0.1142632872633567,0.11948040260991642,0.17099065351158277,0.12948761313713483,0.11019057118432629,0.1220409685229839,0.16118749517135153,0.18409403974998118,0.15063613364912254,0.15275805306445323,0.29818447597677367,0.34192468599550113,0.3398922241813562,0.285453188647284,0.27469145870984163,0.24615938868285944,0.2388771281032169,0.24044095102668273,0.11606195919938136,0.22492910657295892,0.17504212550988205,0.1590259363908066,0.39842878233654333,0.28876359204088564,0.22890822964207422,0.2227527884242897,0.20452390902276302,0.17454528197982963,0.21060743587430633,0.1862821630344568,0.06934871707012064,0.05906316291253533,0.062232963854035914,0.06427593548769688,0.11080436726274781,0.10185203992440853,0.0865326125765006,0.09139425242764425,0.3033562819253333,0.32650716698061294,0.3172324702587018,0.26901489999454153,1.520124638174018,1.401092236328657,1.0551816545039472,1.044600263145846,1.1424487282091893,0.7298303775690956,1.7886590114312453,1.0979253498625738,1.078921940908892,1.2123778500236688,1.1276560589450197,1.5723509138686522,0.9230769230769231,0.1816251037862852,123.77143649950388,0.8880384921944299,2.6190117346026525,1.6391511298070214
2018-11-27,1339,179.9214,51.56,97.369,0.003,1048.4037,-0.362,1.2735,3.058,0.348,-0.585,1.015,1.8998,0.7702,1.9967,3.287,0.858,3.886,0.087,-0.144,0.807,113.78,324.1411,1942.31,1259.8142,1163.6061,370.4942,2790.81,2060.04,1952.1,74.38,120.99,1241.79,981.64,581.14,2549.36,2.33675,2.8329,3.3187,2.3893,19.02,1213.29,0,2018,0.22509999999999986,0.48580000000000023,0.6686999999999999,0.4436,0.9329999999999999,1.5999999999999999,2.429,3.028,1.1296,1.2265,0.23099999999999998,0.9510000000000001,2.71,2.939,0.03560000000000052,-0.266,-1.3088884981323332,-1.4151560751053374,1.2986591117252118,0.9589692187378764,0.9904166855973549,0.9827403826496832,1.4359828183677816,0.1870720019289801,0.12838930109034938,0.11541055874579498,0.12000620887305902,0.18587039525167495,0.13814331603363214,0.10685411453497826,0.12361974772157333,0.13739403524647598,0.18647619165186946,0.14761305215026055,0.15320486894040958,0.31836455816844544,0.33960272090744587,0.31097761452170214,0.28755313158080853,0.2891516208266656,0.251288837828544,0.2368212429803759,0.2411785320839505,0.12672086421625445,0.22463510133759457,0.17432627225026112,0.15894669899794697,0.3315972196350494,0.2930183888469314,0.23309050734147702,0.2238799966141499,0.20294061636047006,0.1751940916923164,0.16210576076216757,0.18560746843456477,0.05971403653779163,0.05826261537042833,0.06020684162414778,0.06394695534871969,0.11118541129382876,0.09940262520367696,0.08594080505322661,0.0909914336380542,0.22840280668020213,0.31516881185797796,0.30519666994578115,0.27032877528116517,1.5588526934207412,1.503565560336749,0.8967994045927916,1.1071503774563423,1.1989111067564524,0.7972538279507851,1.4811382198050804,1.0933860478357638,0.933805780308932,1.2219327341967396,0.8449074888259438,0.7699996464212487,0.7884615384615384,0.1870720019289801,101.67208242749624,0.921806611628184,3.132797793875257,1.6825229115230458
2018-12-04,1237,184.1379,53.25,96.965,-0.06,1060.3896,-0.349,1.2717,2.914,0.261,-0.62,0.908,1.7978,0.72,1.9187,3.153,0.652,3.786,0.068,-0.134,0.786,112.77,330.1937,1956.3,1270.7141,1172.8715,369.4257,2805.5,2073.43,2000.45,77.24,121.32,1265.13,983.84,614.29,2567.52,2.37888,2.7947,3.1727,2.4071,20.74,1240.1,0,2018,0.11929999999999996,0.37799999999999967,0.5069000000000004,0.3876000000000004,0.881,1.528,2.501,3.134,1.0778,1.1987,0.202,0.92,2.653,2.892,0.13939999999999975,-0.23399999999999999,-1.8965833200391247,-1.846359637451101,1.1831124296242321,0.892383749966056,0.992304782268449,0.8939320014709111,1.4336870738774277,0.14586019001710365,0.131440732304347,0.11120580749756577,0.12018739969928575,0.16771013313281152,0.13766159482756632,0.1064943521345335,0.12368602451071928,0.07554325890089789,0.1860421336996767,0.14704949509838966,0.15284387486197634,0.33658502626534575,0.33535852949746153,0.31148063094412415,0.28717296286054894,0.3176620437735752,0.27032967086315324,0.25062257291799,0.24701875874811302,0.06019302798719516,0.22880166066259108,0.17551119372959673,0.158116842133353,0.19419331964853712,0.27435882981248283,0.23376319722783154,0.22278080670485617,0.1332278938012552,0.19747273330678855,0.1609327149193381,0.19286263715815324,0.05328542719507305,0.05907644975989489,0.05853501234147507,0.06414211203152972,0.14257140076437289,0.10830848723871374,0.09278861371304535,0.09099824841558785,0.4054360251410713,0.3359250897194677,0.31047226333570854,0.27244388279785364,1.213606337952667,1.3559343814003568,0.4942511367833107,1.1720637726915513,1.2859834831309216,0.3806870107893339,0.8716788601354144,0.6907916212511616,0.8307401410305922,1.5667488467827546,1.488145085062873,1.1120476427812123,0.8846153846153846,0.14586019001710365,142.19095695383376,1.0948172027300296,2.7373373489739117,1.023067664588399
2018-12-11,1364,181.8015,51.65,97.388,-0.027,1061.9632,-0.359,1.2516,2.88,0.231,-0.606,0.828,1.6478,0.6805,1.7224,3.119,0.653,3.674,0.044,-0.145,0.79,113.31,330.6021,1947.61,1264.7635,1175.5418,365.4541,2809.88,2081.67,1908.6,73.17,116.49,1225.33,942.58,603.6,2507.24,2.4205,2.7641,3.1261,2.3868,21.76,1244.34,1,2018,0.11589999999999989,0.3620000000000001,0.49319999999999986,0.37729999999999997,0.837,1.434,2.466,3.021,0.9672999999999999,1.0419,0.189,0.935,2.649,2.8880000000000003,0.13020000000000032,-0.24000000000000005,-1.8185484084477082,-2.1347440257788386,1.1321362785175197,0.8971753843183728,0.9760016991650837,0.8931736922479208,1.425453055806944,0.16008497306810715,0.13373698051232213,0.11348830849030485,0.12186445000344596,0.20569376282400445,0.15354073827446144,0.11850843238586019,0.12855581693569534,0.16633151367533494,0.18113748663336623,0.1560264437566182,0.15735420624535287,0.31822684012360203,0.35340976057464346,0.31538082150769126,0.29073596485694725,0.26066997927609337,0.24503646864809886,0.24731869034996934,0.24726922484219072,0.1512789383066731,0.2355949255408941,0.175979262034654,0.16080675129446678,0.28669999275646046,0.29431683462891495,0.24139721064930048,0.22835422160388055,0.14071320407935406,0.1874131678713501,0.16087380695148074,0.19275312571231287,0.03935741757597058,0.05645007896315911,0.05862323977166618,0.06385675032113843,0.09533022860913995,0.10829420717008856,0.09306985694908258,0.0888849672466672,0.2470856906611723,0.3295715455272191,0.31068868643642544,0.27391726472885736,1.3136314410279653,1.6000346598621369,1.0570515885414864,1.0945561560647692,1.054194995121027,0.940749919321817,1.2555055507307005,0.7300177548838859,0.6163391869777336,1.0725123894638597,0.9020449693295352,1.2901327986695503,0.9038461538461539,0.16008497306810715,135.92781123024173,1.137668452051085,4.067466386967574,1.6792676929839936
