Data,original,trend,seasonal,residual,Y,residual_volatility
2013-04-16,81.749,81.36717457421865,-0.03870239561881755,0.42052782140015665,0,1.0577450766659817
2013-04-23,83.048,81.36530922463778,0.045710518580567114,1.636980256781655,0,1.0182128212721793
2013-04-30,81.746,81.36296817505468,-0.7656814151916432,1.1487132401369564,0,0.8454877332695976
2013-05-07,82.253,81.36015759228813,-0.5939071232981724,1.4867495310100338,0,0.6209988447348576
2013-05-14,83.595,81.35685710993482,0.40432392921023175,1.8338189608549413,0,0.499967085855703
2013-05-21,83.864,81.35301939065937,0.5846024295967635,1.9263781797438781,0,0.5486794701389861
2013-05-28,84.1,81.34858846598722,1.0006557262642874,1.7507558077484902,0,0.5149913489100661
2013-06-04,82.769,81.3435086204771,0.4359976297819742,0.9894937497409302,0,0.46287864980403937
2013-06-11,81.113,81.33772731675451,-0.1258280765640847,-0.09889924019041985,0,0.60691682760605
2013-06-18,80.612,81.33118092668373,-0.6492609080225349,-0.06992001866119324,0,0.7048429267627198
2013-06-25,82.581,81.32378867106593,0.12094541116730591,1.1362659177667638,0,0.7049052798975212
2013-07-02,83.544,81.31546106372055,0.013670889127616229,2.214868047151839,0,0.7683623093653308
2013-07-09,84.58,81.30611715271085,0.9986900389629993,2.275192808326139,0,0.7841325622121648
2013-07-16,82.498,81.29569094314692,0.2078741221623353,0.9944349346907444,0,0.7848810776981507
2013-07-23,81.945,81.28413655245573,0.21962217190640398,0.4412412756378501,0,0.8228475011033148
2013-07-30,81.829,81.27141327340526,-0.07969580941038498,0.6372825360051166,0,0.8361253747991829
2013-08-06,81.603,81.25748369393233,-0.17441778233413796,0.5199340884017971,0,0.8271662725570674
2013-08-13,81.768,81.24233425738716,-0.21301746714673056,0.7386832097595715,0,0.7839722801654452
2013-08-20,80.906,81.22598562677388,-0.6241226535600143,0.30413702678613674,0,0.762380093364567
2013-08-27,81.166,81.20849699203168,-0.8150111795300419,0.7725141874983592,0,0.7610900223326476
2013-09-03,82.361,81.18995530762875,-0.18594331947949044,1.3569880118507456,0,0.715601469333331
2013-09-10,81.821,81.17045658771202,-0.314651785565637,0.9651951978536175,0,0.6408210090027706
2013-09-17,81.143,81.15010778026151,-0.8253989211623689,0.8182911409008682,0,0.6425868771412611
2013-09-24,80.563,81.12903972100621,-0.7321571769788184,0.16611745597261063,0,0.5580002244260359
2013-10-01,80.141,81.10739963016039,-0.39343373536256515,-0.572965894797818,0,0.49017469679318887
2013-10-08,80.06,81.08536848227843,-0.7568681767284337,-0.26850030554999194,0,0.5305692510496793
2013-10-15,80.482,81.06316002951998,-0.9366337846583656,0.35547375513839086,0,0.531860581162425
2013-10-22,79.23,81.04103429847864,-1.454829616201962,-0.3562046822766689,0,0.580702600351109
2013-10-29,79.607,81.01930598643428,-1.1043599125566932,-0.3079460738775879,0,0.6134116319350771
2013-11-05,80.706,80.99834082882101,-0.33941962847664275,0.04707879965563677,0,0.6040419197738106
2013-11-12,81.192,80.9785455715595,0.3155791654523286,-0.10212473701183455,0,0.613470825191293
2013-11-19,80.704,80.96035328881774,0.13902178401496723,-0.3953750728327208,0,0.6138620854890364
2013-11-26,80.611,80.94420252134151,0.03328787711936443,-0.3664903984608685,0,0.49364238158542156
2013-12-03,80.591,80.93053585463238,-0.0938138057241186,-0.245722048908263,0,0.3912187330701432
2013-12-10,79.966,80.91979082303985,-0.20293157783739668,-0.7508592452024629,0,0.30915238499958325
2013-12-17,80.061,80.912386334873,-0.6524449910292743,-0.1989413438437282,0,0.28316303837249596
2013-12-24,80.536,80.90872342762806,-0.03646679640716681,-0.3362566312208912,0,0.26745811176122547
2013-12-31,80.035,80.90919252515832,-0.30501542235669893,-0.5691771028016177,0,0.2835786091860976
2014-01-07,80.833,80.91416856427385,0.6255275071317138,-0.7066960714055597,0,0.23207287975019414
2014-01-14,80.662,80.92399693825129,0.5424895297393564,-0.8044864679906425,0,0.2655322130310969
2014-01-21,81.098,80.93900002914009,0.6592594481764188,-0.5002594773165043,0,0.26562042713596234
2014-01-28,80.568,80.95947291844405,0.5374790245411524,-0.9289519429852078,0,0.262087015190729
2014-02-04,81.121,80.98567810018561,0.3836766470816938,-0.24835474726731377,0,0.24515882078255133
2014-02-11,80.638,81.01784991183911,0.42818327802202694,-0.8080331898611348,0,0.25714021602398546
2014-02-18,80.008,81.05620477238011,0.09495976086286793,-1.143164533242981,0,0.3034359063268898
2014-02-25,80.137,81.10095910903752,0.4936309686794976,-1.4575900777170148,0,0.36830174226165946
2014-03-04,80.168,81.15232175118335,0.9398972383765003,-1.9242189895598472,0,0.5101855657253049
2014-03-11,79.736,81.21050215365304,1.597836198302861,-3.072338351955892,0,0.7957206217821589
2014-03-18,79.414,81.27570388994417,1.6460366714808699,-3.507740561425038,0,1.031805950185115
2014-03-25,79.944,81.34812199269216,0.9103828046129021,-2.3145047973050623,0,1.0414794020395215
2014-04-01,80.094,81.42794859017644,1.1637838807529655,-2.4977324709294066,0,1.0533289405018125
2014-04-08,79.752,81.51539211814291,0.6665252192709407,-2.4299173374138547,0,1.046130295664394
2014-04-15,79.803,81.61067077901613,0.5659419441909015,-2.3736127232070316,0,0.9828096887788703
2014-04-22,79.905,81.71399658274552,0.6233061494757268,-2.4323027322212454,0,0.9439110821207849
2014-04-29,79.808,81.82557018738855,-0.29983884116228854,-1.717731346226259,0,0.7734711216045954
2014-05-06,79.093,81.94557838783064,-0.8062768727788371,-2.0463015150517947,0,0.6528212292098636
2014-05-13,80.143,82.07420060318809,-0.11194906512980717,-1.8192515380582819,0,0.5736354958449674
2014-05-20,80.041,82.21159663574602,0.0731965668922025,-2.24379320263823,0,0.5101261061669272
2014-05-27,80.352,82.35788126831983,0.8494267620473183,-2.8553080303671408,0,0.5078001834425095
2014-06-03,80.554,82.51310255469862,0.1615821603718363,-2.1206847150704533,0,0.473666014261888
2014-06-10,80.82,82.67721240355596,-0.7006355991619472,-1.156576804394021,0,0.44245647811668826
2014-06-17,80.629,82.85007595008304,-1.0171283535301547,-1.2039475965528794,0,0.5184826878354675
2014-06-24,80.327,83.03150660098515,-0.5755559657737441,-2.1289506352114103,0,0.5017938103937883
2014-07-01,79.815,83.22128320665057,-0.39395339846987304,-3.012329808180695,0,0.5665039519068995
2014-07-08,80.179,83.41916419298965,0.3883568049056197,-3.6285209978952793,0,0.7185295516481808
2014-07-15,80.39,83.62487831324259,-0.24647118511219776,-2.9884071281303903,0,0.7522186141327024
2014-07-22,80.781,83.83812333236037,-0.03588592982118026,-3.0212374025391853,0,0.7634284388751464
2014-07-29,81.214,84.05856866732591,-0.30638107543376364,-2.5381875918921537,0,0.7587068571886147
2014-08-05,81.328,84.28586889905216,-0.3806245071102865,-2.577244391941875,0,0.7378547091864547
2014-08-12,81.5,84.51966972164419,-0.4078811497651164,-2.6117885718790745,0,0.7358657886907507
2014-08-19,81.883,84.75960876144225,-0.8732724643718074,-2.0033362970704474,0,0.7381893647349395
2014-08-26,82.65,85.00532421017212,-1.4016371116608737,-0.9536870985112387,0,0.8491526932505977
2014-09-02,82.992,85.2564800227552,-0.7075637564876941,-1.556916266267507,0,0.8061188617172869
2014-09-09,84.278,85.51275402069945,-0.6998494351692295,-0.5349045855302137,0,0.9092792070865902
2014-09-16,84.074,85.7738283153944,-1.0987278883114389,-0.6011004270829545,0,1.0333450235373498
2014-09-23,84.658,86.03935340972588,-0.9285921669338164,-0.4527612427920644,0,1.1051119873441748
2014-09-30,85.936,86.30894005659462,-0.9081103390420138,0.5351702824473961,1,1.1830313425372658
