frequency,power_normal,power_crisis
0.0,701728.625807451,
0.00390625,4234232.200448403,
0.0078125,1074772.7997887568,
0.01171875,223430.5215510275,
0.015625,81745.50001069522,
0.01953125,56951.32853919169,
0.0234375,73711.34714687595,
0.02734375,49698.52859586364,
0.03125,29525.841219790374,
0.03515625,31680.1599771571,
0.0390625,22238.92560457932,
0.04296875,30116.374088234217,
0.046875,11751.007395931116,
0.05078125,11329.842298683465,
0.0546875,12632.115237030444,
0.05859375,11902.361289156443,
0.0625,21896.167907069273,
0.06640625,17497.8648213435,
0.0703125,5919.913524264697,
0.07421875,4448.5636624849985,
0.078125,3414.5165647210088,
0.08203125,7380.078882045849,
0.0859375,6872.563140763834,
0.08984375,7455.662818324049,
0.09375,6231.824803139105,
0.09765625,2381.526532986776,
0.1015625,1381.1437929722672,
0.10546875,1198.1879896305334,
0.109375,1536.7386750827666,
0.11328125,3412.357622883984,
0.1171875,4057.767913365008,
0.12109375,3649.8022757383997,
0.125,3476.4849399790633,
0.12890625,2726.447553229429,
0.1328125,3323.944500529258,
0.13671875,4180.539987687444,
0.140625,3481.1604081793494,
0.14453125,3606.7393879847245,
0.1484375,3400.1687125175768,
0.15234375,4216.266998859219,
0.15625,3222.5700367934596,
0.16015625,1017.6290810620123,
0.1640625,2133.026162976029,
0.16796875,3770.440173850546,
0.171875,2076.77636225783,
0.17578125,2141.385494050005,
0.1796875,3043.1033954950967,
0.18359375,1456.7915365742415,
0.1875,3039.0985574366755,
0.19140625,4068.3586967591646,
0.1953125,2524.843321857177,
0.19921875,1319.3290740331977,
0.203125,307.65378657941943,
0.20703125,1482.267047277126,
0.2109375,1262.9820829781122,
0.21484375,893.0268002484066,
0.21875,705.6905134763613,
0.22265625,312.9252484724943,
0.2265625,528.8158237184024,
0.23046875,769.5618787542459,
0.234375,1332.187578195438,
0.23828125,1429.291232480174,
0.2421875,1093.6113964318465,
0.24609375,1105.9312115391908,
0.25,390.82760912355184,
0.25390625,1015.5023463993141,
0.2578125,1235.1815079574192,
0.26171875,1684.5577769577474,
0.265625,644.1234870652816,
0.26953125,1233.793291570299,
0.2734375,839.1263396239871,
0.27734375,490.54199304349356,
0.28125,744.751909116126,
0.28515625,994.5509910925397,
0.2890625,646.0950755350239,
0.29296875,371.97964013622016,
0.296875,371.89031076868,
0.30078125,873.8346083761058,
0.3046875,670.5069508338205,
0.30859375,912.3926099066533,
0.3125,1009.6570794487847,
0.31640625,465.54596260983044,
0.3203125,693.4203077310005,
0.32421875,1498.9068260869083,
0.328125,594.9842744071609,
0.33203125,520.0050133472652,
0.3359375,597.1767568362824,
0.33984375,1302.3309588898646,
0.34375,1761.597531013385,
0.34765625,913.3771693932546,
0.3515625,491.01658651746254,
0.35546875,420.3448419250628,
0.359375,370.43649607654544,
0.36328125,680.7678316423485,
0.3671875,393.86974796396623,
0.37109375,148.21474709433159,
0.375,403.7836435563012,
0.37890625,571.7892484345882,
0.3828125,605.9648779353065,
0.38671875,481.4928228051128,
0.390625,113.68837067583668,
0.39453125,103.50539594727573,
0.3984375,307.7738080858177,
0.40234375,510.7522510975706,
0.40625,272.22007975563696,
0.41015625,492.48930331890443,
0.4140625,486.6375378118487,
0.41796875,343.06302455727644,
0.421875,474.45611111923046,
0.42578125,1130.9147693976831,
0.4296875,662.350159198195,
0.43359375,273.4720435718636,
0.4375,229.61759217886916,
0.44140625,401.7147544275516,
0.4453125,547.7742504219707,
0.44921875,474.0091007985505,
0.453125,276.6294362867124,
0.45703125,212.0396351486112,
0.4609375,538.4054876481214,
0.46484375,1051.316047246171,
0.46875,935.5349794829951,
0.47265625,561.5910735259547,
0.4765625,324.82597270497394,
0.48046875,254.34671736202455,
0.484375,278.9977564360833,
0.48828125,554.4482098281389,
0.4921875,605.0642671662184,
0.49609375,453.8765120212083,
0.5,146.92466109316314,
