frequency,power_normal,power_crisis
0.0,226474.92968795673,
0.00390625,3753339.5589465112,
0.0078125,665209.7319881966,
0.01171875,330825.39866720384,
0.015625,121282.59104868569,
0.01953125,49192.37802676066,
0.0234375,58311.03568428634,
0.02734375,27643.759308535526,
0.03125,15331.814944668495,
0.03515625,17600.687967923484,
0.0390625,23370.489653326167,
0.04296875,15352.696537502561,
0.046875,7322.941636456599,
0.05078125,4283.319655970272,
0.0546875,6002.169364524443,
0.05859375,7617.466986726931,
0.0625,9092.554415156503,
0.06640625,8826.092976490847,
0.0703125,8409.338956689322,
0.07421875,5895.656616816846,
0.078125,2552.7739240215283,
0.08203125,7249.279465473167,
0.0859375,10331.454376519607,
0.08984375,5336.202782351406,
0.09375,5942.415846624978,
0.09765625,5013.489856882656,
0.1015625,2456.714241542122,
0.10546875,3917.9133611267753,
0.109375,2393.929783738016,
0.11328125,743.8309006185376,
0.1171875,1503.0921175758456,
0.12109375,3173.553510461954,
0.125,3113.1324742648094,
0.12890625,2870.97868792146,
0.1328125,3815.6224356800813,
0.13671875,2935.5432535716673,
0.140625,1045.274525196512,
0.14453125,897.0104043659934,
0.1484375,963.1862993830567,
0.15234375,1336.0340420692598,
0.15625,2125.214870749525,
0.16015625,1742.3292898340758,
0.1640625,2352.8210744017742,
0.16796875,2198.252512360883,
0.171875,1996.515336540621,
0.17578125,1051.0245180237616,
0.1796875,1518.73423716736,
0.18359375,1947.2567708108804,
0.1875,2288.948400970595,
0.19140625,2326.778426650824,
0.1953125,1947.7490789346666,
0.19921875,1750.6155664546873,
0.203125,1604.627293262164,
0.20703125,2243.2771400507636,
0.2109375,1493.5204943765211,
0.21484375,298.38621236600204,
0.21875,241.03837228235201,
0.22265625,629.1119443477091,
0.2265625,1055.966584969129,
0.23046875,562.4450615283225,
0.234375,593.1384713453423,
0.23828125,750.8791981125571,
0.2421875,837.5357313828675,
0.24609375,778.1762203054807,
0.25,580.6191208134203,
0.25390625,316.0394402802123,
0.2578125,341.85388694135867,
0.26171875,412.2090695564969,
0.265625,570.4942009232984,
0.26953125,211.53571104745532,
0.2734375,166.98723957662963,
0.27734375,392.5295953852684,
0.28125,684.4976665350129,
0.28515625,650.090161475307,
0.2890625,418.943692010498,
0.29296875,231.73430753394268,
0.296875,302.99408135194574,
0.30078125,394.1650511132386,
0.3046875,895.8428368663347,
0.30859375,1298.343533947148,
0.3125,557.9901962830935,
0.31640625,231.10349102177253,
0.3203125,363.6503768466261,
0.32421875,206.61710946271296,
0.328125,234.97351023872096,
0.33203125,393.5936478257562,
0.3359375,255.37752300896378,
0.33984375,470.31727221073663,
0.34375,463.59333036182625,
0.34765625,362.77008564420856,
0.3515625,274.65840858042054,
0.35546875,375.48402467937274,
0.359375,600.4994476818498,
0.36328125,625.3275303201078,
0.3671875,676.99086746948,
0.37109375,824.0598211050158,
0.375,589.7694521886807,
0.37890625,378.55417667845506,
0.3828125,595.3981209052621,
0.38671875,943.8224515623793,
0.390625,538.1023600093243,
0.39453125,155.3531389624901,
0.3984375,123.88571966173349,
0.40234375,162.90060043817317,
0.40625,154.74611619742342,
0.41015625,328.5353513135391,
0.4140625,296.0230880155856,
0.41796875,384.37628142542565,
0.421875,462.628998402853,
0.42578125,316.411617277697,
0.4296875,391.348710253283,
0.43359375,616.5136902232776,
0.4375,291.1961160773285,
0.44140625,311.5970121574045,
0.4453125,268.69740938775493,
0.44921875,342.1475636712878,
0.453125,250.58983735896624,
0.45703125,181.5194974981279,
0.4609375,728.8594662557792,
0.46484375,888.0354810733412,
0.46875,526.3660144374313,
0.47265625,132.05603935334724,
0.4765625,194.75280918311645,
0.48046875,304.5579917172073,
0.484375,334.9897714445817,
0.48828125,318.91879723431947,
0.4921875,350.2639103841584,
0.49609375,481.97362610226565,
0.5,354.7995361399264,
