,4w_1.5sd_neg,4w_1.5sd_pos,4w_2.0sd_neg,4w_2.0sd_pos,4w_2.5sd_neg,4w_2.5sd_pos,12w_1.5sd_neg,12w_1.5sd_pos,12w_2.0sd_neg,12w_2.0sd_pos,12w_2.5sd_neg,12w_2.5sd_pos,26w_1.5sd_neg,26w_1.5sd_pos,26w_2.0sd_neg,26w_2.0sd_pos,26w_2.5sd_neg,26w_2.5sd_pos
count,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0
mean,6.705670567056705,5.516265912305515,3.4632034632034627,2.2995156658522995,1.8451845184518452,1.0136727958510137,8.7008700870087,6.388495992456388,4.755475547554755,2.773134456302773,2.5588273113025584,1.1036817967511037,10.668209678110667,8.008658008658006,5.625562556255625,3.598216964553598,2.620976383352621,1.2686982984012687
std,10.39174210065209,6.744381878971759,7.535149988547934,3.8276463713656903,5.568599188449681,2.1789277421649795,12.74737376975933,7.6937813892493185,9.450325659971613,4.568608412207408,6.848950937545403,2.444741412429714,13.63664438104342,8.309271786108946,9.871086203729282,4.820324489702247,6.626830354592149,2.3491558270712187
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0
50%,2.380952380952381,4.761904761904762,0.0,0.0,0.0,0.0,4.761904761904762,4.761904761904762,0.0,0.0,0.0,0.0,4.761904761904762,4.761904761904762,2.380952380952381,2.380952380952381,0.0,0.0
75%,7.142857142857142,7.142857142857142,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,11.904761904761903,7.142857142857142,4.761904761904762,4.761904761904762,2.380952380952381,2.380952380952381,14.285714285714285,11.904761904761903,7.142857142857142,4.761904761904762,2.380952380952381,2.380952380952381
max,69.04761904761905,42.857142857142854,61.904761904761905,26.190476190476193,57.14285714285714,19.047619047619047,78.57142857142857,47.61904761904761,66.66666666666666,38.095238095238095,57.14285714285714,21.428571428571427,80.95238095238095,45.23809523809524,73.80952380952381,30.952380952380953,57.14285714285714,23.809523809523807
