market_state,MXUS_logret_4w,MXUS_logret_12w,MXUS_logret_accel_12w,XAUBGNL_logret_4w,XAUBGNL_logret_12w,neg_thresh_2.0sd_12w_pct,pos_thresh_2.0sd_12w_pct,equity_avg_logret_12w,equity_dispersion_12w,yield_avg_change_12w,commcurr_avg_change_12w
Crisis,0.07060031901702397,0.1062135576674269,0.04939273598118244,0.050909435925847735,0.08165575511849331,16.528386049665528,3.9848065404186217,0.14474091879230958,0.050072939739352514,0.25728287334288935,0.07822346783379167
Normal,0.02531932698797249,0.042181073697420295,0.023584715257938524,0.041349368188352525,0.06880570699807574,5.877674923319587,4.614648186673531,0.06452727201256116,0.02812689038492512,0.16437670571711635,0.03161691030808173
Post-Crisis,0.049383683786787806,0.08172470407327696,0.040976087753233845,0.0451643143979771,0.05469372592850506,7.231104771264975,4.014305642781187,0.10674425394307906,0.03357386230255189,0.1573040151851733,0.0487938459947204
Pre-Crisis,0.038164160287966334,0.06955000239176969,0.0300588216445313,0.053477612010468065,0.07637231144542204,6.801789789361514,5.635093039107934,0.10299624821051274,0.03598687694597561,0.19934331737506739,0.040866444214664496
