,MXUS_logret_12w,bond_equity_ratio_zscore,MXUS_roc_12w,VIX,MXUS_logret_4w,MXUS_rsi_14w,MXUS_roc_4w,MXEU_roc_12w,GTITL10YR,equity_avg_logret_26w,MXUS_roc_26w,MXBR_logret_26w,MXUS_vol_12w,equity_avg_logret_4w,MXEU_roc_4w,MXEU_logret_26w,MXUS_logret_1w,MXUS_logret_26w,MXUS_roc_1w,GTITL30YR,MXEU_logret_4w,MXCN_ma_26_52_cross,MXEU_logret_12w,Y,pre_crisis
2000-01-11,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.29344115516935143,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4332659676494284,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.4887407394035532,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-12,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.2767279581703343,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.444207464620376,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.5042368122597753,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-13,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.2600147611713171,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4551489615913236,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.5197328851159977,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-14,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.24330156417229992,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.466090458562271,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.5352289579722191,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-15,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.22658836717328235,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4770319555332185,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.5507250308284428,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-16,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.20987517017426516,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4879734525041661,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.566221103684665,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-17,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.193161973175248,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4989149494751137,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.10681538843011706,0.18919784778259469,0.09698067031236664,1.5817171765408873,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-18,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.1764487761762308,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.5098564464460613,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.4101997965002112,0.18919784778259469,0.4009188396988315,1.5972132493971094,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-19,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.201852835614737,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4972541865420235,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,0.12057070101952277,0.18919784778259469,0.11187297191117578,1.5772255612202428,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-20,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.22725689505324279,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4846519266379854,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,-0.16905839446116053,0.18919784778259469,-0.17717289587647989,1.5572378730433767,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-21,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.25266095449174936,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.4720496667339475,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,-0.458687489941849,0.18919784778259469,-0.46621876366413556,1.5372501848665099,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
2000-01-22,0.18748018917676848,-0.12691905657156932,0.15775476056219356,0.27806501393025557,0.15527652877914927,0.04606588923997899,0.13744381529027436,0.15941351135062826,1.45944740682991,0.12614088000050364,0.14413881285261362,0.07151535406784541,-0.2514258858487921,0.11334098875642104,0.15198427086423075,0.19175772711730152,-0.7483165854225426,0.18919784778259469,-0.7552646314517913,1.5172624966896437,0.1697677512506101,0.07304429422638543,0.19240982758478384,0,0
