,GTITL30YR,GTITL10YR,GTITL2YR,yield_dispersion_26w,yield_dispersion_12w,VIX,MXUS_vol_12w,MXUS_vol_26w,MXEU_vol_12w,MXEU_vol_26w,VIX_logret_104w,VIX_logret_26w,VIX_logret_52w,MXUS_logret_4w,MXUS_roc_4w,bond_equity_ratio_zscore,gold_equity_ratio_zscore,bond_equity_ratio,MXUS_st_lt_divergence,gold_equity_ratio,neg_thresh_1.5sd_26w_pct,neg_thresh_1.5sd_26w_count,neg_thresh_2.0sd_26w_pct,neg_thresh_2.0sd_26w_count,neg_thresh_1.5sd_12w_pct,vix_zscore_52w,vix_percentile_52w,negative_weeks_count_12w,commcurr_avg_change_26w,negative_weeks_pct_12w,Y,pre_crisis
2000-01-11,6.321,5.777,4.495,0.2131005576969357,0.1292161115226794,22.5,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.000106077038551,0.0025487115553128,0.2000183600259865,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-12,6.340714285714285,5.793,4.5007142857142854,0.2131005576969357,0.1292161115226794,22.357142857142858,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001057401145998,0.0025487115553128,0.2002049082219596,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-13,6.360428571428571,5.809,4.506428571428572,0.2131005576969357,0.1292161115226794,22.214285714285715,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001054031906486,0.0025487115553128,0.2003914564179327,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-14,6.380142857142856,5.825,4.512142857142857,0.2131005576969357,0.1292161115226794,22.071428571428573,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001050662666974,0.0025487115553128,0.2005780046139058,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-15,6.399857142857143,5.841,4.517857142857143,0.2131005576969357,0.1292161115226794,21.928571428571427,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001047293427462,0.0025487115553128,0.2007645528098788,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-16,6.4195714285714285,5.857,4.523571428571429,0.2131005576969357,0.1292161115226794,21.785714285714285,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.000104392418795,0.0025487115553128,0.2009511010058519,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-17,6.439285714285714,5.873,4.529285714285715,0.2131005576969357,0.1292161115226794,21.642857142857142,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001040554948438,0.0025487115553128,0.201137649201825,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-18,6.459,5.889,4.535,0.2131005576969357,0.1292161115226794,21.5,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001037185708926,0.0025487115553128,0.2013241973977981,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-19,6.433571428571428,5.870571428571429,4.531571428571429,0.2131005576969357,0.1292161115226794,21.717142857142857,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001043046115031,0.0025487115553128,0.2021620829538064,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
2000-01-20,6.408142857142857,5.852142857142857,4.528142857142857,0.2131005576969357,0.1292161115226794,21.93428571428571,0.1305537313475512,0.1399958389989483,0.1432268198358494,0.1473003841822707,-0.0565914617967862,-0.0482284567821963,-0.0158812270799846,0.0105534864082583,1.068573953053975,-0.12879488852237495,0.0161894625450879,0.0001048906521136,0.0025487115553128,0.2029999685098146,0.0,0.0,0.0,0.0,0.0,-0.37135507236639953,0.4230769230769231,5.0,0.0194057128682068,41.66666666666667,0,0
