Data,original,trend,seasonal,residual
2001-01-16,110.11,113.72334809037666,-2.620202012237142,-0.9931460781395174
2001-01-23,110.34,113.8263981378069,-2.3727404234274383,-1.1136577143794568
2001-01-30,111.0,113.92382847845485,-0.9085460669131115,-2.015282411541733
2001-02-06,110.7,114.01585403623926,-1.3729261565009847,-1.9429278797382779
2001-02-13,112.01,114.10277118651587,-0.9628866109210519,-1.129884575594815
2001-02-20,112.82,114.18493504669216,-1.2616767175356043,-0.10325832915656008
2001-02-27,112.34,114.26276783489628,-0.13621729833069585,-1.786550536565585
2001-03-06,111.12,114.33675429371625,-0.8014676533087882,-2.4152866404074587
2001-03-13,113.11,114.40740430940517,-0.8048585229955759,-0.49254578640959323
2001-03-20,114.11,114.47524210162162,-0.04167344406975376,-0.32356865755185993
2001-03-27,115.4,114.5407883239407,0.3177664408698322,0.541445235189471
2001-04-03,115.63,114.60452872211961,0.0176095409222225,1.0078617369581622
2001-04-10,116.02,114.6668913000607,0.47742966772928547,0.8756790322100159
2001-04-17,116.36,114.72823324996011,0.7373197317926032,0.894447018247277
2001-04-24,115.23,114.78886688189871,0.9258592500141594,-0.48472613191286484
2001-05-01,115.3,114.84908282414399,1.2022451922658632,-0.7513280164098575
2001-05-08,116.08,114.90915381362274,1.0935264145853218,0.0773197717919345
2001-05-15,116.77,114.96933725684565,1.7120081230846196,0.08865462006973246
2001-05-22,117.69,115.02986799578838,1.4066582440221505,1.2534737601894648
2001-05-29,118.22,115.09092716120045,0.3661047885073534,2.762968050292187
2001-06-05,118.53,115.15261661180533,-0.6156700411021298,3.9930534292968076
2001-06-12,119.61,115.21494684316052,-0.4489606464610903,4.8440138033005695
2001-06-19,119.04,115.27782004835088,-0.7334872434871798,4.495667195136306
2001-06-26,118.1,115.34104210734407,-1.1018000460145823,3.860757938670517
2001-07-03,119.35,115.40431862993698,-0.9236173528745701,4.869298722937586
2001-07-10,119.13,115.46725501574393,-1.1875545237579248,4.85029950801399
2001-07-17,118.9,115.5293601825939,-0.47151711485670933,3.84215693226281
2001-07-24,117.2,115.59002402948244,-1.0324668757911737,2.6424428463087395
2001-07-31,117.18,115.6485255971575,-0.18912296303880913,1.7205973658813178
2001-08-07,116.83,115.70404025684786,0.46985171829745753,0.6561080248546745
2001-08-14,114.38,115.75566392513217,-0.9139290954096547,-0.46173482972251634
2001-08-21,113.29,115.80247987902868,-0.5855792744616205,-1.9269006045670523
2001-08-28,113.43,115.84359107888919,-0.33279048347956325,-2.080800595409613
2001-09-04,115.43,115.87814560318952,0.10717411276986977,-0.555319715959385
2001-09-11,114.15,115.90535853678435,1.0327703842846145,-2.78812892106896
2001-09-18,111.88,115.9245286419791,0.8995080441575938,-4.944036686136698
2001-09-25,112.21,115.93502279335814,-0.5733561640688447,-3.151666629289309
2001-10-02,113.0,115.93627494169176,-0.08690998705779995,-2.8493649546339697
2001-10-09,113.35,115.92781543635671,0.2161495892500936,-2.793965025606809
2001-10-16,113.95,115.909297492218,0.9655161202411352,-2.9248136124591326
2001-10-23,115.88,115.8805013859798,2.25959003260906,-2.260091418588857
2001-10-30,114.41,115.84133194332186,1.3099216830149731,-2.7412536263368423
2001-11-06,115.12,115.79181979488627,1.0369460529684587,-1.7087658478547212
2001-11-13,116.53,115.73211021444823,1.4458400963489813,-0.6479503107972135
2001-11-20,116.62,115.66245376911952,2.1341442551935943,-1.1765980243131082
2001-11-27,116.89,115.58318913010521,2.033820509562465,-0.7270096396676706
2001-12-04,116.08,115.4947122408551,0.7668798544513429,-0.18159209530644205
2001-12-11,116.05,115.39746141657756,0.40244550680231567,0.25009307662013214
2001-12-18,115.15,115.29193294742625,-0.611430673457072,0.4694977260308377
2001-12-25,118.05,115.17866187973523,-0.8971504970389961,3.7684886173037597
2002-01-01,116.84,115.05821642518276,-2.2755021708235676,4.057285745640812
2002-01-08,116.83,114.93119334502242,-2.4212652043723395,4.320071859349923
2002-01-15,117.29,114.7981955795113,-2.1760460125121623,4.667850433000865
2002-01-22,117.7,114.65981605461577,-1.9215396716932276,4.961723617077453
2002-01-29,119.62,114.51661660321209,-1.0243954305828242,6.127778827370747
2002-02-05,119.41,114.36911950219042,-1.2170898805526356,6.2579703783622165
2002-02-12,118.25,114.21779421379696,-0.8550041922642734,4.887209978467311
