Data,original,trend,seasonal,residual
2012-01-31,1.798,2.035462254850346,0.10295952498746558,-0.3404217798378115
2012-02-07,1.974,2.017889383131431,0.2221649343226303,-0.2660543174540613
2012-02-14,1.937,2.0009361247786885,0.18679402350998187,-0.25073014828867035
2012-02-21,2.06,1.984620875426515,0.20110870803530173,-0.12572958346181684
2012-02-28,1.944,1.9689645611212212,0.10982358319178105,-0.13478814431300234
2012-03-06,1.944,1.9539898665359017,0.16706451560794186,-0.1770543821438435
2012-03-13,2.127,1.9397168727103817,0.19256829937551284,-0.0052851720858948514
2012-03-20,2.36,1.9261614388166062,0.23370491228401083,0.2001336488993828
2012-03-27,2.184,1.9133346355479544,0.2545923623497592,0.01607300210228657
2012-04-03,2.301,1.9012414913837392,0.28652901813147497,0.11322949048478614
2012-04-10,1.983,1.8898831433244052,0.15348107709430892,-0.06036422041871403
2012-04-17,1.999,1.8792549889912402,0.11441839339389566,0.005326617614864304
2012-04-24,1.974,1.8693468523474495,0.0893688693476593,0.015284278304891208
2012-05-01,1.944,1.8601423775455885,0.0484490823416654,0.03540854011274597
2012-05-08,1.841,1.8516197432465922,0.023888124084294193,-0.03450786733088629
2012-05-15,1.769,1.843752096863064,0.016231334804173034,-0.0909834316672371
2012-05-22,1.77,1.8365082163509903,-0.02134404541828322,-0.04516417093270708
2012-05-29,1.746,1.8298524825246192,0.03346549551214461,-0.11731797803676369
2012-06-05,1.575,1.8237472822637544,-0.03267776059894475,-0.21606952166480964
2012-06-12,1.665,1.8181565046547645,0.04921203034492218,-0.20236853499968666
2012-06-19,1.621,1.813046906758998,-0.0017205096072500405,-0.19032639715174793
2012-06-26,1.627,1.808392021977835,0.0954271041022963,-0.2768191260801314
2012-07-03,1.63,1.804173855750977,0.08435427172868028,-0.25852812747965737
2012-07-10,1.502,1.8003807358592419,0.049434621975738835,-0.34781535783498074
2012-07-17,1.509,1.7970096841746384,0.011772020355960757,-0.29978170453059927
2012-07-24,1.388,1.7940713302380593,-0.00591748323398939,-0.40015384700407
2012-07-31,1.469,1.7915858791601806,-0.05344251190724564,-0.26914336725293486
2012-08-07,1.629,1.7895796366307055,-0.10060476353581785,-0.05997487309488769
2012-08-14,1.739,1.7880813788714378,-0.06915374142031681,0.020072362548879008
2012-08-21,1.799,1.7871207856695157,-0.05977154651472372,0.07165076084520794
2012-08-28,1.634,1.7867290760313652,-0.12629211269816878,-0.02643696333319645
2012-09-04,1.573,1.7869358911068631,-0.1359760003981497,-0.07795989070871356
2012-09-11,1.701,1.787767466247906,-0.049574000332739704,-0.03719346591516626
2012-09-18,1.809,1.789246067843372,-0.060029525243344956,0.07978345739997295
2012-09-25,1.667,1.7913901961849794,-0.15491619212641566,0.030525995941436346
2012-10-02,1.621,1.794214717673862,-0.20718365359764127,0.03396893592377914
