Data,original,trend,seasonal,residual
2000-01-11,1416.12,1480.2327989281976,-46.58925794731284,-17.523540980884718
2000-01-18,1428.79,1476.337454734096,-24.646168502893524,-22.901286231202448
2000-01-25,1385.93,1472.4284689149486,-39.33604324190345,-47.162425673044936
2000-02-01,1385.31,1468.5055093711153,-30.09693027365653,-53.098579097458924
2000-02-08,1411.95,1464.5683234689823,-17.118019550220836,-35.50030391876135
2000-02-15,1369.47,1460.61674990624,-49.86949466065734,-41.27725524558264
2000-02-22,1315.93,1456.6507018120196,-96.96485122112126,-43.75585059089826
2000-02-29,1333.28,1452.6701709724016,-81.00413733744475,-38.3860336349569
2000-03-07,1319.95,1448.6752330669106,-82.67864241304505,-46.04659065386545
2000-03-14,1324.43,1444.6660462905238,-91.05389247243045,-29.18215381809341
2000-03-21,1457.01,1440.6428561447117,-21.86881308488381,38.23595694017217
2000-03-28,1474.82,1436.605960852304,8.329125278722618,29.8849138689734
2000-04-04,1465.45,1432.55563241159,-22.923755246296594,55.81812283470663
2000-04-11,1468.75,1428.4920997134434,2.0768468498110835,38.181053436745515
2000-04-18,1410.47,1424.4155264753501,-17.849487572734905,3.9039610973848085
2000-04-25,1439.63,1420.3260319233395,10.049526174432398,9.254441902228109
2000-05-02,1409.11,1416.22373136957,12.581116776542299,-19.694848146112463
2000-05-09,1375.57,1412.1087478630627,-8.201486702069381,-28.33726116099342
2000-05-16,1426.88,1407.981244797544,33.70673861933333,-14.80798341687705
2000-05-23,1337.55,1403.8414414068855,2.3664065447719875,-68.65784795165746
2000-05-30,1379.85,1399.6896174731821,14.834585225063115,-34.67420269824538
2000-06-06,1412.52,1395.526161455974,40.497847475495625,-23.50400893146957
2000-06-13,1419.28,1391.3515530126288,33.15898601953532,-5.230539032164188
2000-06-20,1425.88,1387.1663437422026,30.369008056925082,8.34464820087237
2000-06-27,1402.53,1382.9711370474295,13.60542940394611,5.953433548624389
2000-07-04,1421.65,1378.7665740619693,33.85022675306734,9.03319918496345
2000-07-11,1429.53,1374.553335639497,26.121240700808897,28.855423659694225
2000-07-18,1439.0,1370.3321389703874,43.450441700693986,25.217419328918595
2000-07-25,1418.85,1366.103720492842,5.420468992217221,47.32581051494071
2000-08-01,1391.35,1361.8688309525535,23.72177118836883,5.7593978590775805
2000-08-08,1428.75,1357.6282250198876,43.658185003581565,27.463589976530784
2000-08-15,1427.27,1353.382697408282,45.47636892376782,28.410933667950303
2000-08-22,1435.93,1349.133075470712,51.89644082511193,34.90048370417617
2000-08-29,1450.16,1344.880213900884,65.45185270982526,39.82793338929082
2000-09-05,1442.61,1340.624987353616,45.54692217484398,56.43809047153991
2000-09-12,1416.78,1336.3682758344623,21.91141217192284,58.50031199361479
2000-09-19,1394.02,1332.1109326911965,-16.29213829108325,78.20120559988686
2000-09-26,1365.01,1327.8537492042278,-44.26233982295858,81.41859061873083
2000-10-03,1358.24,1323.5973865706478,-21.3726755365971,56.01528896594937
2000-10-10,1323.43,1319.3423057754565,-48.189946727303806,52.27764095184739
2000-10-17,1279.95,1315.0887039742909,-40.96625661666684,5.827552642376077
2000-10-24,1326.42,1310.8363991502822,-7.926023054239742,23.509623903957618
2000-10-31,1361.95,1306.5846793388484,6.009306091614921,49.35601456953668
2000-11-07,1368.83,1302.3319398227911,39.26627362989669,27.23178654731214
2000-11-14,1320.88,1298.0750970042263,13.489953920558976,9.314949075214827
2000-11-21,1284.08,1293.80882567051,-1.8667928621104823,-7.86203280839959
