,mean,std,skew,kurt,autocorr
Normal,3.150865718799368,1.1383037552509916,0.23533564090698225,-0.999564043574305,0.9889715211952061
Pre-Crisis,3.716194444444444,1.5754536754869322,-0.2320434019688032,-0.7987818163455129,0.9846753324082617
Crisis,3.2545316455696205,1.501918497716321,0.16283236628909034,-0.8507951268777556,0.986675527358537
Post-Crisis,3.3855979381443295,1.5328639906220332,0.10219741957117547,-0.8437964887571412,0.9640679195328156
