,mean,std,skew,kurt,autocorr
Normal,1006.7062243285941,438.1898796860759,-0.2723571036302754,-1.2750236981232115,0.9974309600862821
Pre-Crisis,934.5534722222224,556.8589472784676,0.2116856653806465,-1.2473734470411038,0.9916344880088402
Crisis,976.5116455696201,568.7653558450696,0.10144243249433321,-1.435021386909399,0.994273708216232
Post-Crisis,967.1981443298969,547.9162632862835,0.10198904860017256,-1.2797972565732008,0.9867903278468408
