,Y
GTITL10YR_logret_accel_26w,0.04224623723674244
GTGBP30Y_logret_accel_52w,-0.04223581266116702
GTDEM30Y_diff_accel_12w,-0.04186352919487653
GTGBP20Y_logret_accel_52w,-0.04128831876818553
USGG3M_diff_accel_52w,-0.04112119824200553
Cl1_logret_accel_12w,-0.03986195787241742
GTJPY30YR_logret_accel_26w,-0.03946924713443428
LUMSTRUU_logret_accel_12w,0.03931351354270407
GTITL2YR_diff_accel_12w,-0.03846690634618578
USGG2YR_logret_accel_4w,-0.03835307378849524
GTJPY30YR_logret_accel_52w,-0.03779608561587734
GTJPY2YR_diff_accel_26w,-0.037373346241449903
GBP_logret_accel_12w,-0.03719817230763616
EMUSTRUU_logret_accel_4w,-0.03691284614168349
XAUBGNL_logret_accel_26w,0.03590812201971132
GBP_logret_accel_104w,-0.03390062646652219
GT10_logret_accel_4w,-0.033855127974223076
GTDEM10Y_diff_accel_4w,-0.03371556416826887
EMUSTRUU_logret_accel_26w,-0.03307471099412747
LUACTRUU_logret_accel_26w,0.03239311703928717
USGG3M_diff_accel_26w,-0.030786662587823626
GTGBP30Y_logret_accel_12w,-0.030541665205050063
GTJPY2YR_diff_accel_4w,-0.03045840770450527
GTGBP20Y_logret_accel_12w,-0.02995340671439112
GTGBP20Y_logret_accel_26w,-0.02941453576551762
USGG30YR_logret_accel_4w,-0.02851903545560807
MXBR_logret_accel_4w,-0.02790358859927635
CRY_logret_accel_4w,-0.02769445785363194
GTGBP30Y_logret_accel_26w,-0.02705554644600743
GTGBP30Y_logret_accel_4w,-0.026559533233598002
EONIA_diff_accel_52w,-0.026430997899699316
ECSURPUS_diff_accel_26w,0.026360687660402983
GTJPY2YR_diff_accel_52w,-0.025993397020424015
GTJPY30YR_logret_accel_104w,-0.025041471560249436
EONIA_diff_accel_4w,0.02503930574237205
GTJPY10YR_diff_accel_4w,-0.024728633915467122
LF94TRUU_logret_accel_26w,0.02441593906682659
JPY_logret_accel_12w,-0.023521153591120815
DXY_logret_accel_12w,0.023505582051018048
GTDEM30Y_diff_accel_4w,-0.02309912340246898
LF94TRUU_logret_accel_52w,-0.022982350329887248
GTJPY30YR_logret_accel_12w,-0.022589487595697916
USGG3M_diff_accel_4w,-0.02234322584871682
GTGBP20Y_logret_accel_4w,-0.022314805769806725
LF94TRUU_logret_accel_104w,0.021883238570003224
EONIA_diff_accel_26w,-0.021353502963437933
US0001M_logret_accel_26w,-0.02133272424377719
ECSURPUS_diff_accel_104w,0.020336101010768746
ECSURPUS_diff_accel_12w,0.020288160692764363
LF94TRUU_logret_accel_12w,0.020016316633302996
EONIA_diff_accel_12w,-0.019911995465727486
LUACTRUU_logret_accel_104w,-0.017445500225695767
LF94TRUU_logret_accel_4w,0.017164466863585488
LUACTRUU_logret_accel_52w,-0.017008306464736014
ECSURPUS_diff_accel_4w,-0.016112184964144318
GTJPY2YR_diff_accel_12w,-0.015985759093568093
LUMSTRUU_logret_accel_4w,0.014730162155175188
JPY_logret_accel_52w,-0.01466006211191476
LMBITR_logret_accel_104w,0.014184922065089261
XAUBGNL_logret_accel_52w,-0.013540035546948355
Cl1_logret_accel_4w,-0.013435128342586623
GTITL30YR_logret_accel_104w,0.012753956212583042
GTITL10YR_logret_accel_12w,0.01265025537220273
GTITL30YR_logret_accel_4w,0.011619090743103017
GTITL30YR_logret_accel_12w,0.011610221632053403
JPY_logret_accel_4w,-0.011041092477768175
GTITL10YR_logret_accel_52w,0.010347622642469936
GTITL30YR_logret_accel_52w,0.010029057244514859
DXY_logret_accel_26w,-0.0076223279554937405
BDIY_logret_accel_26w,-0.007590111287484938
GBP_logret_accel_26w,-0.007223984181395747
XAUBGNL_logret_accel_4w,0.006658577785116177
LMBITR_logret_accel_12w,-0.0060928714024361735
LMBITR_logret_accel_26w,-0.006029631530590765
GBP_logret_accel_4w,-0.0056268047443780635
XAUBGNL_logret_accel_12w,-0.005176360954472395
LUACTRUU_logret_accel_12w,0.004977992718631358
DXY_logret_accel_104w,0.004760200482151671
GTITL10YR_logret_accel_104w,-0.004673971705220965
LMBITR_logret_accel_4w,-0.004329477232206026
DXY_logret_accel_4w,-0.004053923917255477
GTJPY30YR_logret_accel_4w,0.0033120821146565295
XAUBGNL_logret_accel_104w,-0.002556700481272598
LUACTRUU_logret_accel_4w,-0.001936143100701652
GTITL2YR_diff_accel_26w,-0.001928107034084604
GTITL10YR_logret_accel_4w,-0.001569491018444855
LMBITR_logret_accel_52w,-0.001277872191931303
