,Y
US0001M_logret_4w,-0.13405584790859146
LMBITR_logret_26w,0.13354256543319612
GBP_logret_4w,-0.13286100063212689
GTITL10YR_logret_52w,0.1322874937746897
MXBR_logret_accel_52w,-0.1312600487365044
GTGBP30Y_logret_52w,-0.13094783201655935
VIX_logret_1w,0.13030281567267965
MXIN_logret_accel_52w,-0.13004085301109294
GTGBP30Y_logret_4w,-0.1298232706761648
GTITL10YR_logret_26w,0.12910091708763763
MXJP_logret_accel_52w,-0.1286575402847486
BDIY_logret_12w,-0.12783154243364295
CRY_logret_accel_52w,-0.1271154758492849
US0001M_logret_1w,-0.1265203493649157
LG30TRUU_logret_accel_52w,-0.12616916488982008
MXUS_logret_accel_12w,-0.12117856532817144
LF98TRUU_logret_accel_52w,-0.1200151654903625
LMBITR_logret_12w,0.11918902492251851
MXRU_logret_accel_52w,-0.11726797317141534
CRY_logret_1w,-0.11594693415462652
USGG2YR_logret_accel_104w,-0.11548885794469449
LP01TREU_logret_accel_52w,-0.11474737542956222
USGG30YR_logret_1w,-0.11463358476011619
DXY_logret_4w,0.11423473237117068
EMUSTRUU_logret_4w,-0.11342180917557677
VIX_logret_accel_26w,0.10995763113210813
LUMSTRUU_logret_1w,0.10956150486733236
MXRU_logret_accel_104w,-0.10880240101609777
GT10_logret_accel_104w,-0.1076444265351313
US0001M_logret_accel_104w,-0.10685084355417872
BDIY_logret_accel_52w,-0.10489728547395762
MXEU_logret_accel_12w,-0.10404148543766151
LF94TRUU_logret_52w,-0.10337884113883312
GTGBP20Y_logret_104w,-0.10264295262487337
BDIY_logret_1w,-0.10223696537474924
Cl1_logret_accel_52w,-0.10221540465868527
MXUS_logret_accel_4w,-0.10176828010855175
GTGBP30Y_logret_26w,-0.10033741433933833
MXCN_logret_accel_104w,-0.09973356471655416
MXCN_logret_accel_52w,-0.09823903851754608
CRY_logret_accel_104w,-0.09731852743845498
BDIY_logret_4w,-0.09652401522123587
GT10_logret_accel_52w,-0.0948190406474611
Cl1_logret_1w,-0.09317530012894232
EMUSTRUU_logret_1w,-0.0927532124863179
DXY_logret_104w,0.09268133053658295
LP01TREU_logret_accel_26w,-0.09147882605027663
LMBITR_logret_104w,0.09025735841624255
MXBR_logret_accel_12w,-0.08981053256234414
CRY_logret_accel_26w,-0.08875659754641392
MXIN_logret_accel_104w,-0.08821249798839852
Cl1_logret_accel_26w,-0.087434536539193
LF98TRUU_logret_accel_26w,-0.08722817025127055
JPY_logret_4w,-0.08707450739154338
USGG30YR_logret_accel_52w,-0.08662880226382741
LMBITR_logret_52w,0.08637542738698088
VIX_logret_accel_12w,0.08585392747017152
MXJP_logret_accel_12w,-0.08501925285143316
USGG30YR_logret_accel_104w,-0.08484219431116623
MXBR_logret_accel_26w,-0.08424668752574652
VIX_logret_accel_52w,0.08340098944137832
EMUSTRUU_logret_accel_104w,-0.08237659287526225
VIX_logret_accel_104w,0.0814475491262338
MXIN_logret_accel_12w,-0.08039845530120483
GT10_logret_accel_26w,-0.08007067242495168
MXRU_logret_accel_26w,-0.079812300520627
LG30TRUU_logret_accel_26w,-0.07963187906534934
MXCN_logret_accel_26w,-0.07934148079342836
MXIN_logret_accel_26w,-0.07825168268157032
USGG2YR_logret_accel_52w,-0.07669538376199969
Cl1_logret_accel_104w,-0.07662417306519258
GTITL30YR_logret_12w,0.07612557568384086
LP01TREU_logret_accel_4w,-0.07479418710320868
JPY_logret_accel_104w,-0.07428633981148841
LF94TRUU_logret_104w,-0.07387441369501081
EMUSTRUU_logret_accel_52w,-0.07368415508131608
MXCN_logret_accel_12w,-0.07291842551723962
USGG2YR_logret_accel_12w,-0.07271471943041548
GBP_logret_1w,-0.07236499357304063
BDIY_logret_accel_104w,-0.07232165286213296
GTGBP20Y_logret_accel_104w,-0.07165088661536995
MXJP_logret_accel_4w,-0.07129917636980078
LF94TRUU_logret_12w,-0.07109579376308801
GTGBP30Y_logret_accel_104w,-0.07097703812502915
GTITL10YR_logret_12w,0.07076946259786779
LP01TREU_logret_accel_12w,-0.0689304768903058
LUACTRUU_logret_52w,-0.06855874980257101
XAUBGNL_logret_52w,0.06688983279114612
GTGBP20Y_logret_1w,-0.06662060644634588
USGG30YR_logret_accel_26w,-0.06505113519283028
LG30TRUU_logret_accel_12w,-0.06462542219176214
GTGBP30Y_logret_1w,-0.0640943241526498
LUMSTRUU_logret_accel_104w,0.06377785702118122
USGG2YR_logret_accel_26w,-0.06260061129307287
MXCN_logret_accel_4w,-0.06235083214936922
US0001M_logret_accel_12w,-0.06165654025617054
BDIY_logret_accel_4w,-0.06115685646795623
MXEU_logret_accel_4w,-0.06103602325991227
GT10_logret_accel_12w,-0.060873439338091015
LMBITR_logret_4w,0.06039224138850518
GTITL30YR_logret_accel_26w,0.060389881758671944
US0001M_logret_accel_4w,-0.06021690806626914
DXY_logret_1w,0.060048236162164925
GBP_logret_accel_52w,-0.059530854536267275
GTGBP30Y_logret_104w,-0.0593104436195461
LF98TRUU_logret_accel_12w,-0.05901186782502909
MXIN_logret_accel_4w,-0.058972903303513784
LF98TRUU_logret_accel_4w,-0.05891259124396329
GTITL30YR_logret_4w,0.05845651993449494
US0001M_logret_accel_52w,-0.05805241575481467
GTJPY30YR_logret_12w,-0.05663827588910986
VIX_logret_accel_4w,0.056404343702007635
DXY_logret_accel_52w,0.05533604657102851
BDIY_logret_accel_12w,-0.05415768136379466
LG30TRUU_logret_accel_4w,-0.05375113702482689
GTITL10YR_logret_4w,0.04988798038330258
LUACTRUU_logret_26w,-0.04934105003344628
JPY_logret_accel_26w,-0.04889121507950576
XAUBGNL_logret_4w,0.04836670626793738
USGG30YR_logret_accel_12w,-0.04803776644461495
MXRU_logret_accel_4w,-0.04730905602976722
GTJPY30YR_logret_4w,-0.047072785677294116
MXRU_logret_accel_12w,-0.045651003466326626
LUMSTRUU_logret_accel_26w,0.04553374604297114
LUMSTRUU_logret_accel_52w,0.04490333556819626
EMUSTRUU_logret_accel_12w,-0.0436360021673527
CRY_logret_accel_12w,-0.04317534001094407
GTITL10YR_logret_accel_26w,0.04224623723674244
GTGBP30Y_logret_accel_52w,-0.04223581266116702
GTGBP20Y_logret_accel_52w,-0.04128831876818553
JPY_logret_1w,-0.04024650755543129
GTITL30YR_logret_1w,0.03990071563574315
Cl1_logret_accel_12w,-0.03986195787241742
GTJPY30YR_logret_accel_26w,-0.03946924713443428
LUMSTRUU_logret_accel_12w,0.03931351354270407
USGG2YR_logret_accel_4w,-0.03835307378849524
GTJPY30YR_logret_accel_52w,-0.03779608561587734
GBP_logret_accel_12w,-0.03719817230763616
EMUSTRUU_logret_accel_4w,-0.03691284614168349
LF94TRUU_logret_4w,-0.03690458981482776
XAUBGNL_logret_accel_26w,0.03590812201971132
GBP_logret_accel_104w,-0.03390062646652219
GT10_logret_accel_4w,-0.033855127974223076
EMUSTRUU_logret_accel_26w,-0.03307471099412747
LUACTRUU_logret_accel_26w,0.03239311703928717
XAUBGNL_logret_12w,0.031913453650503625
GTGBP30Y_logret_accel_12w,-0.030541665205050063
GTGBP20Y_logret_accel_12w,-0.02995340671439112
GTGBP20Y_logret_accel_26w,-0.02941453576551762
USGG30YR_logret_accel_4w,-0.02851903545560807
MXBR_logret_accel_4w,-0.02790358859927635
CRY_logret_accel_4w,-0.02769445785363194
LMBITR_logret_1w,0.027150809906980742
GTGBP30Y_logret_accel_26w,-0.02705554644600743
GTGBP30Y_logret_accel_4w,-0.026559533233598002
GTJPY30YR_logret_accel_104w,-0.025041471560249436
LF94TRUU_logret_accel_26w,0.02441593906682659
GTITL10YR_logret_1w,0.02387715223660536
JPY_logret_accel_12w,-0.023521153591120815
DXY_logret_accel_12w,0.023505582051018048
LF94TRUU_logret_accel_52w,-0.022982350329887248
GTJPY30YR_logret_accel_12w,-0.022589487595697916
GTGBP20Y_logret_accel_4w,-0.022314805769806725
LF94TRUU_logret_accel_104w,0.021883238570003224
US0001M_logret_accel_26w,-0.02133272424377719
LF94TRUU_logret_accel_12w,0.020016316633302996
XAUBGNL_logret_1w,0.01985550730348846
XAUBGNL_logret_26w,0.01894592606058615
LUACTRUU_logret_accel_104w,-0.017445500225695767
LF94TRUU_logret_accel_4w,0.017164466863585488
GTJPY30YR_logret_1w,-0.017111029444582464
LUACTRUU_logret_accel_52w,-0.017008306464736014
LUACTRUU_logret_4w,0.015422290589606596
LUMSTRUU_logret_accel_4w,0.014730162155175188
JPY_logret_accel_52w,-0.01466006211191476
LMBITR_logret_accel_104w,0.014184922065089261
XAUBGNL_logret_accel_52w,-0.013540035546948355
Cl1_logret_accel_4w,-0.013435128342586623
GTITL30YR_logret_accel_104w,0.012753956212583042
GTITL10YR_logret_accel_12w,0.01265025537220273
GTITL30YR_logret_accel_4w,0.011619090743103017
GTITL30YR_logret_accel_12w,0.011610221632053403
JPY_logret_accel_4w,-0.011041092477768175
GTITL10YR_logret_accel_52w,0.010347622642469936
GTITL30YR_logret_accel_52w,0.010029057244514859
DXY_logret_accel_26w,-0.0076223279554937405
BDIY_logret_accel_26w,-0.007590111287484938
LUACTRUU_logret_12w,-0.007581779021473577
GTJPY30YR_logret_52w,-0.0073246575343227155
GBP_logret_accel_26w,-0.007223984181395747
GTJPY30YR_logret_104w,0.0067424633225321474
XAUBGNL_logret_accel_4w,0.006658577785116177
LMBITR_logret_accel_12w,-0.0060928714024361735
LMBITR_logret_accel_26w,-0.006029631530590765
GBP_logret_accel_4w,-0.0056268047443780635
LUACTRUU_logret_1w,0.005264562738948498
XAUBGNL_logret_accel_12w,-0.005176360954472395
LUACTRUU_logret_accel_12w,0.004977992718631358
DXY_logret_accel_104w,0.004760200482151671
GTITL10YR_logret_accel_104w,-0.004673971705220965
LMBITR_logret_accel_4w,-0.004329477232206026
DXY_logret_accel_4w,-0.004053923917255477
GTJPY30YR_logret_accel_4w,0.0033120821146565295
GTJPY30YR_logret_26w,-0.0028107872889595064
XAUBGNL_logret_accel_104w,-0.002556700481272598
LF94TRUU_logret_1w,0.002030570610096564
LUACTRUU_logret_accel_4w,-0.001936143100701652
GTITL10YR_logret_accel_4w,-0.001569491018444855
LMBITR_logret_accel_52w,-0.001277872191931303
LUACTRUU_logret_104w,0.00017938389558594132
